X,Nrep,rest,interval_duration,niveau_endurance,PAM,rest_power,duration,Wbal_skiba,power_skiba,percent_power_max,percent_PAM,cumul_time
1...76,20,120,15,moyenne,331.614571833768,165.807285916884,2580,0,770.220242685736,100.64270177419922,232.26369047251416,300
1...77,2,150,15,moyenne,331.614571833768,165.807285916884,180,0,1420.89033876619,185.66409280499022,428.47644809723715,30
1...78,3,150,15,moyenne,331.614571833768,165.807285916884,345,0,1162.8496152057,151.94657390891365,350.6630027671444,45
1...79,4,150,15,moyenne,331.614571833768,165.807285916884,510,0,1045.03528424415,136.55207773942251,315.1355136372011,60
1...80,5,150,15,moyenne,331.614571833768,165.807285916884,675,0,981.614008385829,128.2649824404321,296.01051695577877,75
1...81,6,150,15,moyenne,331.614571833768,165.807285916884,840,0,944.434169662214,123.40678836385763,284.79875430071286,90
1...82,7,150,15,moyenne,331.614571833768,165.807285916884,1005,0,921.540950883041,120.41539023829071,277.8951919353507,105
1...83,8,150,15,moyenne,331.614571833768,165.807285916884,1170,0,907.016032438255,118.51745643401182,273.5151315645214,120
1...84,9,150,15,moyenne,331.614571833768,165.807285916884,1335,0,897.624682361469,117.29031282929519,270.68312390428696,135
1...85,10,150,15,moyenne,331.614571833768,165.807285916884,1500,0,891.478134048752,116.48715914091585,268.8296021248526,150
1...86,11,150,15,moyenne,331.614571833768,165.807285916884,1665,0,887.42315289931,115.957305164214,267.60680267818816,165
1...87,12,150,15,moyenne,331.614571833768,165.807285916884,1830,0,884.733958901096,115.60591508826445,266.79586304325494,180
1...88,13,150,15,moyenne,331.614571833768,165.807285916884,1995,0,882.944328555556,115.37206868541716,266.2561912382303,195
1...89,14,150,15,moyenne,331.614571833768,165.807285916884,2160,0,881.75059486484,115.21608656864804,265.8962149910724,210
1...90,15,150,15,moyenne,331.614571833768,165.807285916884,2325,0,880.953113980783,115.11188178885037,265.65573072053894,225
1...91,16,150,15,moyenne,331.614571833768,165.807285916884,2490,0,880.419803969021,115.04219553874637,265.49490847174184,240
1...92,17,150,15,moyenne,331.614571833768,165.807285916884,2655,0,880.062911143077,114.99556126940857,265.3872856902789,255
1...93,18,150,15,moyenne,331.614571833768,165.807285916884,2820,0,879.823967369298,114.96433909991406,265.31523102378526,270
1...94,19,150,15,moyenne,331.614571833768,165.807285916884,2985,0,879.663942533681,114.9434290654656,265.2669747500238,285
1...95,20,150,15,moyenne,331.614571833768,165.807285916884,3150,0,879.556748985856,114.92942235976248,265.234650010121,300
1...96,2,180,15,moyenne,331.614571833768,165.807285916884,210,0,1460.07100981197,190.78373050449218,440.2915715488749,30
1...97,3,180,15,moyenne,331.614571833768,165.807285916884,405,0,1219.04709436737,159.28975423874746,367.609628137347,45
1...98,4,180,15,moyenne,331.614571833768,165.807285916884,600,0,1112.48228130872,145.36520369345496,335.4744862859603,60
1...99,5,180,15,moyenne,331.614571833768,165.807285916884,795,0,1057.45978389074,138.17555521161304,318.88218242135156,75
1...100,6,180,15,moyenne,331.614571833768,165.807285916884,990,0,1026.77328591082,134.16582930007561,309.6285185035601,90
1...101,7,180,15,moyenne,331.614571833768,165.807285916884,1185,0,1008.92043675963,131.83304333397615,304.24490431179913,105
1...102,8,180,15,moyenne,331.614571833768,165.807285916884,1380,0,998.277763690178,130.44239256625,301.03555406805083,120
1...103,9,180,15,moyenne,331.614571833768,165.807285916884,1575,0,991.840939039206,129.6013092139589,299.09449803562813,135
1...104,10,180,15,moyenne,331.614571833768,165.807285916884,1770,0,987.913778492184,129.08815722722954,297.91024351831135,150
1...105,11,180,15,moyenne,331.614571833768,165.807285916884,1965,0,985.505029263907,128.7734121493996,297.1838733787373,165
1...106,12,180,15,moyenne,331.614571833768,165.807285916884,2160,0,984.022792978258,128.57973213920502,296.73689775958627,180
1...107,13,180,15,moyenne,331.614571833768,165.807285916884,2355,0,983.108864529376,128.4603114550601,296.46129815495243,195
