"","Nrep","intensity","rest","interval_duration","niveau_endurance","PAM","rest_velocity","max_velocity","interval_velocity","interval_power","rest_power","duration","PN","PC","DR","power_cogganMOD","err","abs_error","percent_error"
"1...55",2,95,420,105,"faible",287.076677829212,2.3489525614129,5.67472315961422,5.39098700163351,338.440469371003,145.97155117959,630,252.190590690515,278.69032353538,1,376.759513645078,-38.3190442740743,38.3190442740743,-10.7156166622036
"1...56",3,90,300,105,"faible",287.076677829212,2.3489525614129,5.67472315961422,5.1072508436528,318.934904592762,146.118686596544,915,241.901544282,271.206169582855,1,360.742509923678,-41.8076053309154,41.8076053309154,-12.302190550398
"1...57",5,85,240,105,"faible",287.076677829212,2.3489525614129,5.67472315961422,4.82351468567209,299.827523360052,146.247430086379,1485,231.191541107842,261.728193632031,1,343.147159377898,-43.3196360178457,43.3196360178457,-13.4747563724841
"1...58",7,82.5,180,105,"faible",287.076677829212,2.3489525614129,5.67472315961422,4.68164660668173,290.41698409234,146.462002569436,1815,231.795385438091,257.859674968679,1,325.807687623023,-35.3907035306828,35.3907035306828,-11.4862987981857
"1...59",9,80,120,105,"faible",287.076677829212,2.3489525614129,5.67472315961422,4.53977852769138,281.098589733894,146.891147535552,1905,235.424014095561,256.931079992072,1,308.600649676427,-27.5020599425329,27.5020599425329,-9.327486998299
"1...60",12,77.5,120,105,"faible",287.076677829212,2.3489525614129,5.67472315961422,4.39791044870102,271.869873292341,146.891147535552,2580,227.888817612294,251.146196286213,1,302.03617753873,-30.1663042463889,30.1663042463889,-10.5126280521717
"1...61",15,75,120,105,"faible",287.076677829212,2.3489525614129,5.67472315961422,4.25604236971067,262.728367775309,146.891147535552,3255,220.805800730238,246.750130092212,1,296.833803060133,-34.1054352848237,34.1054352848237,-12.1900432382351
"1...62",18,72.5,60,105,"faible",287.076677829212,2.3489525614129,5.67472315961422,4.11417429072031,253.671606190426,148.178582433898,2910,227.620847725143,248.865754557743,1,279.333214363302,-25.661608172876,25.661608172876,-9.6290341787966
"1...63",21,70,60,105,"faible",287.076677829212,2.3489525614129,5.67472315961422,3.97230621172995,244.69712154532,148.178582433898,3405,220.245671300396,245.901236041375,1,275.950329866535,-31.2532083212156,31.2532083212156,-12.005516683685
"1...64",2,95,420,120,"faible",287.076677829212,2.3489525614129,5.58062690455698,5.30159555932913,331.314160054038,145.97155117959,660,253.657788300932,277.746920474189,1,364.6438335772,-33.3296735231617,33.3296735231617,-9.57807046636834
"1...65",3,90,300,120,"faible",287.076677829212,2.3489525614129,5.58062690455698,5.02256421410128,312.350267013625,146.118686596544,960,242.986958790488,270.256052274438,1,349.785426949481,-37.4351599358559,37.4351599358559,-11.3073982499852
"1...66",5,85,240,120,"faible",287.076677829212,2.3489525614129,5.58062690455698,4.74353286887344,293.760574508507,146.247430086379,1560,231.971475776838,260.775518132383,1,333.238829227041,-39.4782547185337,39.4782547185337,-12.5927567022646
"1...67",7,82.5,180,120,"faible",287.076677829212,2.3489525614129,5.58062690455698,4.60401719625951,284.600187717577,146.462002569436,1920,232.148074067283,256.780750270843,1,317.073409436424,-32.4732217188468,32.4732217188468,-10.7942983944948
"1...68",9,80,120,120,"faible",287.076677829212,2.3489525614129,5.58062690455698,4.46450152364559,275.526312173543,146.891147535552,2040,235.098448725188,255.620098647349,1,301.163103096924,-25.6367909233807,25.6367909233807,-8.89102183758896
"1...69",12,77.5,120,120,"faible",287.076677829212,2.3489525614129,5.58062690455698,4.32498585103166,266.536601580763,146.891147535552,2760,227.57923625185,249.867423719256,1,294.781032861813,-28.2444312810507,28.2444312810507,-10.0636180116091
"1...70",15,75,120,120,"faible",287.076677829212,2.3489525614129,5.58062690455698,4.18547017841774,257.628709643593,146.891147535552,3480,220.492017436722,245.491082041479,1,289.72839509273,-32.0996854491373,32.0996854491373,-11.7289737070648
"1...71",18,72.5,60,120,"faible",287.076677829212,2.3489525614129,5.58062690455698,4.04595450580381,248.800290066391,148.178582433898,3180,226.175008459385,247.189765346235,1,273.753962105438,-24.9536720390467,24.9536720390467,-9.55065313709906
"1...72",21,70,60,120,"faible",287.076677829212,2.3489525614129,5.58062690455698,3.90643883318989,240.048996553515,148.178582433898,3720,218.832738854649,244.237078239655,1,270.444803353864,-30.3958068003491,30.3958068003491,-11.90839411012
"1...73",2,95,420,135,"faible",287.076677829212,2.3489525614129,5.4976281041214,5.22274669891533,325.209127261776,145.97155117959,690,254.577758790345,276.848472807722,1,354.982524769866,-29.7733975080897,29.7733975080897,-8.7544142652032
"1...74",3,90,300,135,"faible",287.076677829212,2.3489525614129,5.4976281041214,4.94786529370926,306.703053859976,146.118686596544,1005,243.62295072008,269.351809949015,1,340.983463487407,-34.2804096274311,34.2804096274311,-10.5854942813469
"1...75",5,85,240,135,"faible",287.076677829212,2.3489525614129,5.4976281041214,4.67298388850319,288.551338512501,146.247430086379,1635,232.380604495259,259.86934471607,1,325.228523456935,-36.6771849444347,36.6771849444347,-11.9512506737346
"1...76",7,82.5,180,135,"faible",287.076677829212,2.3489525614129,5.4976281041214,4.53554318590015,279.602757214425,146.462002569436,2025,232.17968671252,255.761266729727,1,309.987954691311,-30.3851974768869,30.3851974768869,-10.3072171468484
"1...77",9,80,120,135,"faible",287.076677829212,2.3489525614129,5.4976281041214,4.39810248329712,270.736035956278,146.891147535552,2175,234.5289943816,254.395945033198,1,295.114384123492,-24.378348167214,24.378348167214,-8.6165344416559
"1...78",12,77.5,120,135,"faible",287.076677829212,2.3489525614129,5.4976281041214,4.26066178069408,261.948931580176,146.891147535552,2940,227.041265667669,248.67180892862,1,288.868985158036,-26.9200535778598,26.9200535778598,-9.77457441372741
"1...79",15,75,120,135,"faible",287.076677829212,2.3489525614129,5.4976281041214,4.12322107809105,253.239200928235,146.891147535552,3705,219.965431407174,244.312972062629,1,283.930010127028,-30.6908091987926,30.6908091987926,-11.4268683190166
"1...80",18,72.5,60,135,"faible",287.076677829212,2.3489525614129,5.4976281041214,3.98578037548801,244.604600842571,148.178582433898,3450,224.674703074995,245.654047348574,1,269.180848486369,-24.5762476437976,24.5762476437976,-9.5667355608832
"1...81",21,70,60,135,"faible",287.076677829212,2.3489525614129,5.4976281041214,3.84833967288498,236.0428881653,148.178582433898,4035,217.373377989744,242.711608880933,1,265.928098116147,-29.8852099508461,29.8852099508461,-11.9071463361789
"1...82",2,95,420,150,"faible",287.076677829212,2.3489525614129,5.42338314927314,5.15221399180949,319.875232672532,145.97155117959,720,255.111279541898,275.990929210684,1,347.036447282012,-27.1612146094801,27.1612146094801,-8.14537079672419
"1...83",3,90,300,150,"faible",287.076677829212,2.3489525614129,5.42338314927314,4.88104483434583,301.764527805476,146.118686596544,1050,243.939940729065,268.489241292228,1,333.703276823936,-31.9387490184603,31.9387490184603,-10.0520431675012
"1...84",5,85,240,150,"faible",287.076677829212,2.3489525614129,5.42338314927314,4.60987567688217,283.991378975664,146.247430086379,1710,232.525585534524,259.005360962325,1,318.570046885219,-34.5786679095552,34.5786679095552,-11.477225864617
"1...85",7,82.5,180,150,"faible",287.076677829212,2.3489525614129,5.42338314927314,4.47429109815034,275.226004327767,146.462002569436,2130,231.988449382827,254.795035851021,1,304.082304484198,-28.8563001564311,28.8563001564311,-9.96232911473654
"1...86",9,80,120,150,"faible",287.076677829212,2.3489525614129,5.42338314927314,4.33870651941852,266.538558192832,146.891147535552,2310,233.802937796881,253.247896397176,1,290.061652332377,-23.523094139545,23.523094139545,-8.45242013737244
"1...87",12,77.5,120,150,"faible",287.076677829212,2.3489525614129,5.42338314927314,4.20312194068669,257.926887072075,146.891147535552,3120,226.355564168338,247.549220019319,1,283.922461003893,-25.9955739318179,25.9955739318179,-9.59512972531006
"1...88",15,75,120,150,"faible",287.076677829212,2.3489525614129,5.42338314927314,4.06753736195486,249.388837466713,146.891147535552,3930,219.300804995253,243.206095844181,1,279.072892094968,-29.6840546282548,29.6840546282548,-11.2341359715397
