"","Nrep","rest","interval_duration","niveau_endurance","PAM","rest_power","duration","PC","DR","power_cogganTSS"
"1...1005",18,150,90,"elevee",312.947910877278,156.473955438639,4170,247.21174804888,1,317.000007771489
"1...1006",19,150,90,"elevee",312.947910877278,156.473955438639,4410,246.209646937299,1,315.762989190689
"1...1007",20,150,90,"elevee",312.947910877278,156.473955438639,4650,245.263158834436,1,314.588046562395
"1...1008",2,180,90,"elevee",312.947910877278,156.473955438639,360,305.188853148932,1,374.654676890564
"1...1009",3,180,90,"elevee",312.947910877278,156.473955438639,630,286.716088144262,1,364.010717927789
"1...1010",4,180,90,"elevee",312.947910877278,156.473955438639,900,277.600159602926,1,357.299340928842
"1...1011",5,180,90,"elevee",312.947910877278,156.473955438639,1170,271.671624265586,1,352.234747394654
"1...1012",6,180,90,"elevee",312.947910877278,156.473955438639,1440,267.299952999337,1,348.120775381245
"1...1013",7,180,90,"elevee",312.947910877278,156.473955438639,1710,263.840664416981,1,344.639565771657
"1...1014",8,180,90,"elevee",312.947910877278,156.473955438639,1980,260.97826111992,1,341.614716848862
"1...1015",9,180,90,"elevee",312.947910877278,156.473955438639,2250,258.536076506729,1,338.936549806686
"1...1016",10,180,90,"elevee",312.947910877278,156.473955438639,2520,256.405599214476,1,336.531594560728
"1...1017",11,180,90,"elevee",312.947910877278,156.473955438639,2790,254.51552685834,1,334.347960230766
"1...1018",12,180,90,"elevee",312.947910877278,156.473955438639,3060,252.816537750679,1,332.347510171882
"1...1019",13,180,90,"elevee",312.947910877278,156.473955438639,3330,251.273110033406,1,330.501330671639
"1...1020",14,180,90,"elevee",312.947910877278,156.473955438639,3600,249.858815338701,1,328.786943603655
"1...1021",15,180,90,"elevee",312.947910877278,156.473955438639,3870,248.553458342073,1,327.186508254976
"1...1022",16,180,90,"elevee",312.947910877278,156.473955438639,4140,247.341258032149,1,325.685615656961
"1...1023",17,180,90,"elevee",312.947910877278,156.473955438639,4410,246.209646937299,1,324.272453919556
"1...1024",18,180,90,"elevee",312.947910877278,156.473955438639,4680,245.148452620722,1,322.937214600185
"1...1025",19,180,90,"elevee",312.947910877278,156.473955438639,4950,244.149324244659,1,321.671660629145
"1...1026",20,180,90,"elevee",312.947910877278,156.473955438639,5220,243.205321160056,1,320.468805456772
"1...1027",2,210,90,"elevee",312.947910877278,156.473955438639,390,302.107867134957,1,378.54253674954
"1...1028",3,210,90,"elevee",312.947910877278,156.473955438639,690,284.246361259325,1,369.029133480987
"1...1029",4,210,90,"elevee",312.947910877278,156.473955438639,990,275.38491339166,1,362.704000343847
"1...1030",5,210,90,"elevee",312.947910877278,156.473955438639,1290,269.586230120485,1,357.794514162916
"1...1031",6,210,90,"elevee",312.947910877278,156.473955438639,1590,265.29013646572,1,353.74208630683
"1...1032",7,210,90,"elevee",312.947910877278,156.473955438639,1890,261.878813441393,1,350.278466572348
"1...1033",8,210,90,"elevee",312.947910877278,156.473955438639,2190,259.048753567673,1,347.248639856848
