X,Nrep,rest,interval_duration,niveau_endurance,PAM,rest_power,duration,Wbal_skiba,power_skiba,percent_power_max,percent_PAM,cumul_time
1...1735,13,270,150,elevee,331.614571833768,165.807285916884,5190,0,338.951771108359,102.0277536685253,102.21256841459578,1950
1...1736,2,300,150,elevee,331.614571833768,165.807285916884,600,0,372.610757999061,112.15943350010464,112.36260093716375,300
1...1737,3,300,150,elevee,331.614571833768,165.807285916884,1050,0,356.528278677935,107.31845204368847,107.51285044755383,450
1...1738,4,300,150,elevee,331.614571833768,165.807285916884,1500,0,350.522692861908,105.51071276482537,105.70183660011728,600
1...1739,5,300,150,elevee,331.614571833768,165.807285916884,1950,0,348.025065244599,104.75890275226448,104.94866474657127,750
1...1740,6,300,150,elevee,331.614571833768,165.807285916884,2400,0,346.940281775829,104.43237246102737,104.6215429730101,900
1...1741,7,300,150,elevee,331.614571833768,165.807285916884,2850,0,346.460280692786,104.28788750347367,104.476796293035,1050
1...1742,8,300,150,elevee,331.614571833768,165.807285916884,3300,0,346.24613971058,104.22342900157116,104.41222102994512,1200
1...1743,9,300,150,elevee,331.614571833768,165.807285916884,3750,0,346.150256787948,104.19456731667916,104.38330706452383,1350
1...1744,10,300,150,elevee,331.614571833768,165.807285916884,4200,0,346.107254533638,104.18162322320063,104.37033952390213,1500
1...1745,11,300,150,elevee,331.614571833768,165.807285916884,4650,0,346.087954467944,104.1758137171993,104.36451949446636,1650
1...1746,12,300,150,elevee,331.614571833768,165.807285916884,5100,0,346.079289461936,104.17320546678177,104.36190651942125,1800
1...1747,2,30,165,elevee,331.614571833768,165.807285916884,360,0,331.184699032549,100.7766760504843,99.87036974918144,330
1...1748,3,30,165,elevee,331.614571833768,165.807285916884,555,0,303.589431675719,92.37967181970477,91.5488815816883,495
1...1749,4,30,165,elevee,331.614571833768,165.807285916884,750,0,289.855868312048,88.20066575401859,87.4074582154813,660
1...1750,5,30,165,elevee,331.614571833768,165.807285916884,945,0,281.657127936572,85.70585906380926,84.93508785788862,825
1...1751,6,30,165,elevee,331.614571833768,165.807285916884,1140,0,276.222942430007,84.05228281468574,83.29638257527242,990
1...1752,7,30,165,elevee,331.614571833768,165.807285916884,1335,0,272.367342057153,82.8790565427889,82.13370737932635,1155
1...1753,8,30,165,elevee,331.614571833768,165.807285916884,1530,0,269.497748062029,82.00586359248717,81.26836724084701,1320
1...1754,9,30,165,elevee,331.614571833768,165.807285916884,1725,0,267.285098184791,81.33257312785238,80.60113182202858,1485
1...1755,10,30,165,elevee,331.614571833768,165.807285916884,1920,0,265.532012323153,80.79912406911548,80.0724801852975,1650
1...1756,11,30,165,elevee,331.614571833768,165.807285916884,2115,0,264.112906006432,80.36730213416753,79.64454171779481,1815
1...1757,12,30,165,elevee,331.614571833768,165.807285916884,2310,0,262.944061734228,80.01163280246996,79.2920709968188,1980
1...1758,13,30,165,elevee,331.614571833768,165.807285916884,2505,0,261.967519784296,79.7144794254405,78.99758998395741,2145
1...1759,14,30,165,elevee,331.614571833768,165.807285916884,2700,0,261.141875873243,79.46324303317873,78.74861301455365,2310
1...1760,15,30,165,elevee,331.614571833768,165.807285916884,2895,0,260.436761214614,79.24868266327432,78.53598223215774,2475
1...1761,16,30,165,elevee,331.614571833768,165.807285916884,3090,0,259.829393333815,79.06386580323957,78.35282746985632,2640
1...1762,17,30,165,elevee,331.614571833768,165.807285916884,3285,0,259.302344678307,78.90348939764435,78.19389336373622,2805
1...1763,18,30,165,elevee,331.614571833768,165.807285916884,3480,0,258.842055278319,78.76342726347097,78.0550908384302,2970
1...1764,19,30,165,elevee,331.614571833768,165.807285916884,3675,0,258.437815245989,78.64042047329087,77.93319027474428,3135
1...1765,20,30,165,elevee,331.614571833768,165.807285916884,3870,0,258.081052617761,78.5318606517868,77.82560675504091,3300
1...1766,2,60,165,elevee,331.614571833768,165.807285916884,390,0,334.634740252139,101.82649413496432,100.91074659405648,330
1...1767,3,60,165,elevee,331.614571833768,165.807285916884,615,0,308.346712992025,93.82727190356997,92.98346308695785,495
1...1768,4,60,165,elevee,331.614571833768,165.807285916884,840,0,295.387288927148,89.88382981641423,89.07548522180743,660
1...1769,5,60,165,elevee,331.614571833768,165.807285916884,1065,0,287.747991813163,87.55925693379504,86.7718177225956,825
1...1770,6,60,165,elevee,331.614571833768,165.807285916884,1290,0,282.763820995882,86.04261631210966,85.26881657589705,990
1...1771,7,60,165,elevee,331.614571833768,165.807285916884,1515,0,279.293461788914,84.98661563755839,84.2223127423117,1155
1...1772,8,60,165,elevee,331.614571833768,165.807285916884,1740,0,276.766350658458,84.2176372986391,83.46024999082236,1320
1...1773,9,60,165,elevee,331.614571833768,165.807285916884,1965,0,274.865429250684,83.63920314552671,82.88701782033532,1485
1...1774,10,60,165,elevee,331.614571833768,165.807285916884,2190,0,273.40035465321,83.19339345525198,82.44521739239502,1650
1...1775,11,60,165,elevee,331.614571833768,165.807285916884,2415,0,272.249903830585,82.84332109320637,82.09829330632029,1815
1...1776,12,60,165,elevee,331.614571833768,165.807285916884,2640,0,271.333189344853,82.56437270268812,81.82185355861475,1980
1...1777,13,60,165,elevee,331.614571833768,165.807285916884,2865,0,270.594165255001,82.33949398240279,81.59899722097997,2145
1...1778,14,60,165,elevee,331.614571833768,165.807285916884,3090,0,269.992774917859,82.15649603786281,81.41764501627544,2310
1...1779,15,60,165,elevee,331.614571833768,165.807285916884,3315,0,269.499639567655,82.00643916149828,81.26893763364234,2475
1...1780,16,60,165,elevee,331.614571833768,165.807285916884,3540,0,269.092737739183,81.88262240948028,81.14623439227935,2640
1...1781,17,60,165,elevee,331.614571833768,165.807285916884,3765,0,268.755255300844,81.77992938513292,81.04446490836531,2805
1...1782,18,60,165,elevee,331.614571833768,165.807285916884,3990,0,268.474150598427,81.69439162443777,80.95969640713132,2970
1...1783,19,60,165,elevee,331.614571833768,165.807285916884,4215,0,268.239171119842,81.62288937550825,80.8888371932899,3135
1...1784,20,60,165,elevee,331.614571833768,165.807285916884,4440,0,268.042163609943,81.5629416724211,80.8294286127774,3300
1...1785,2,90,165,elevee,331.614571833768,165.807285916884,420,0,338.063628744365,102.86987562512286,101.94474473028579,330
1...1786,3,90,165,elevee,331.614571833768,165.807285916884,675,0,313.165898481821,95.29370889885107,94.43671209925148,495
1...1787,4,90,165,elevee,331.614571833768,165.807285916884,930,0,301.083340403174,91.6170896440669,90.79315747140969,660
1...1788,5,90,165,elevee,331.614571833768,165.807285916884,1185,0,294.107677729762,89.49445505518206,88.68961219146681,825
1...1789,6,90,165,elevee,331.614571833768,165.807285916884,1440,0,289.672121642901,88.14475321154282,87.35204850651377,990
1...1790,7,90,165,elevee,331.614571833768,165.807285916884,1695,0,286.676386385984,87.23317655235161,86.4486698520864,1155
1...1791,8,90,165,elevee,331.614571833768,165.807285916884,1950,0,284.569821855296,86.59216695284798,85.81342498964291,1320
1...1792,9,90,165,elevee,331.614571833768,165.807285916884,2205,0,283.046158562537,86.12852922286548,85.35395685338658,1485
1...1793,10,90,165,elevee,331.614571833768,165.807285916884,2460,0,281.921492049148,85.78630280595758,85.01480815217909,1650
1...1794,11,90,165,elevee,331.614571833768,165.807285916884,2715,0,281.078833027394,85.5298888607953,84.76070019272053,1815
1...1795,12,90,165,elevee,331.614571833768,165.807285916884,2970,0,280.440369634783,85.33560990202935,84.56816842637492,1980
1...1796,13,90,165,elevee,331.614571833768,165.807285916884,3225,0,279.952510517695,85.18715853835019,84.42105211770662,2145
1...1797,14,90,165,elevee,331.614571833768,165.807285916884,3480,0,279.577315011572,85.07298974949428,84.30791007330001,2310
1...1798,15,90,165,elevee,331.614571833768,165.807285916884,3735,0,279.287329514824,84.98474963891407,84.22046352499412,2475
1...1799,16,90,165,elevee,331.614571833768,165.807285916884,3990,0,279.062341224739,84.91628762333399,84.15261720303037,2640
1...1800,17,90,165,elevee,331.614571833768,165.807285916884,4245,0,278.887261927365,84.86301248808121,84.099821182516,2805
1...1801,18,90,165,elevee,331.614571833768,165.807285916884,4500,0,278.750704869693,84.82145934144243,84.05864173225335,2970
1...1802,19,90,165,elevee,331.614571833768,165.807285916884,4755,0,278.644001835192,84.788990519142,84.02646490904834,3135
1...1803,20,90,165,elevee,331.614571833768,165.807285916884,5010,0,278.560508598584,84.76358424016044,84.00128711419262,3300
1...1804,2,120,165,elevee,331.614571833768,165.807285916884,450,0,341.460700381165,103.90357551784778,102.96914833776745,330
1...1805,3,120,165,elevee,331.614571833768,165.807285916884,735,0,318.014443984739,96.76907989543076,95.89881476745042,495
1...1806,4,120,165,elevee,331.614571833768,165.807285916884,1020,0,306.88125187244,93.38134459791722,92.5415461013799,660
1...1807,5,120,165,elevee,331.614571833768,165.807285916884,1305,0,300.634663178958,91.48056099582882,90.65785665464072,825
1...1808,6,120,165,elevee,331.614571833768,165.807285916884,1590,0,296.799060811584,90.31341994624388,89.50121195529479,990
1...1809,7,120,165,elevee,331.614571833768,165.807285916884,1875,0,294.312191451001,89.55668683428718,88.75128430681086,1155
1...1810,8,120,165,elevee,331.614571833768,165.807285916884,2160,0,292.642465965411,89.0486036261979,88.24777040018225,1320
1...1811,9,120,165,elevee,331.614571833768,165.807285916884,2445,0,291.494931634734,88.69941872774918,87.90172579655358,1485
1...1812,10,120,165,elevee,331.614571833768,165.807285916884,2730,0,290.693582541695,88.45557504116448,87.6600750486363,1650
1...1813,11,120,165,elevee,331.614571833768,165.807285916884,3015,0,290.127722140031,88.28338855261332,87.48943707017386,1815
1...1814,12,120,165,elevee,331.614571833768,165.807285916884,3300,0,289.725002365015,88.16084436375293,87.36799494753461,1980
1...1815,13,120,165,elevee,331.614571833768,165.807285916884,3585,0,289.436786445227,88.07314272033189,87.28108202383703,2145
1...1816,14,120,165,elevee,331.614571833768,165.807285916884,3870,0,289.229693882138,88.01012622167161,87.21863224608938,2310
1...1817,15,120,165,elevee,331.614571833768,165.807285916884,4155,0,289.080464444865,87.96471697812507,87.17363137762699,2475
1...1818,16,120,165,elevee,331.614571833768,165.807285916884,4440,0,288.972708765392,87.9319278449478,87.14113712416969,2640
1...1819,17,120,165,elevee,331.614571833768,165.807285916884,4725,0,288.89478455702,87.90821617370655,87.11763869708275,2805
1...1820,18,120,165,elevee,331.614571833768,165.807285916884,5010,0,288.838372479193,87.89105046010592,87.10062735843287,2970
1...1821,19,120,165,elevee,331.614571833768,165.807285916884,5295,0,288.79750195949,87.87861390993871,87.08830265283353,3135
1...1822,2,150,165,elevee,331.614571833768,165.807285916884,480,0,344.815689203547,104.92446996947508,103.98086166623474,330
1...1823,3,150,165,elevee,331.614571833768,165.807285916884,795,0,322.860083931594,98.24356675610997,97.36004125097298,495
1...1824,4,150,165,elevee,331.614571833768,165.807285916884,1110,0,312.718040341558,95.15742949086604,94.3016582812644,660
1...1825,5,150,165,elevee,331.614571833768,165.807285916884,1425,0,307.227445554615,93.48668837938173,92.64594250358279,825
1...1826,6,150,165,elevee,331.614571833768,165.807285916884,1740,0,303.998512016374,92.50415147437853,91.67224176408104,990
1...1827,7,150,165,elevee,331.614571833768,165.807285916884,2055,0,302.006573316676,91.89802153649708,91.07156288296827,1155
1...1828,8,150,165,elevee,331.614571833768,165.807285916884,2370,0,300.741276451958,91.51300250447095,90.69000640982502,1320
1...1829,9,150,165,elevee,331.614571833768,165.807285916884,2685,0,299.922561629287,91.26387457463883,90.44311894099526,1485
1...1830,10,150,165,elevee,331.614571833768,165.807285916884,3000,0,299.386459270243,91.1007432043639,90.28145464618474,1650
1...1831,11,150,165,elevee,331.614571833768,165.807285916884,3315,0,299.032670255738,90.99308822812515,90.1747678342788,1815
1...1832,12,150,165,elevee,331.614571833768,165.807285916884,3630,0,298.797993757926,90.92167817365781,90.10399998577495,1980
1...1833,13,150,165,elevee,331.614571833768,165.807285916884,3945,0,298.641797049527,90.87414884899859,90.05689810254489,2145
1...1834,14,150,165,elevee,331.614571833768,165.807285916884,4260,0,298.537599698109,90.8424424846652,90.0254768803586,2310
1...1835,15,150,165,elevee,331.614571833768,165.807285916884,4575,0,298.467985685578,90.82125953506063,90.00448443357135,2475
1...1836,16,150,165,elevee,331.614571833768,165.807285916884,4890,0,298.42142983428,90.80709298703405,89.99044528835508,2640
1...1837,17,150,165,elevee,331.614571833768,165.807285916884,5205,0,298.390273633411,90.79761242114104,89.98104998322822,2805
1...1838,2,180,165,elevee,331.614571833768,165.807285916884,510,0,348.118847311322,105.92959277721101,104.97694518859299,330
1...1839,3,180,165,elevee,331.614571833768,165.807285916884,855,0,327.671683211502,99.70769533249802,98.81100260448069,495
1...1840,4,180,165,elevee,331.614571833768,165.807285916884,1200,0,318.533330937999,96.9269727647217,96.05528767224185,660
1...1841,5,180,165,elevee,331.614571833768,165.807285916884,1545,0,313.791123478552,95.48395952678852,94.62525176241331,825
1...1842,6,180,165,elevee,331.614571833768,165.807285916884,1890,0,311.139269205806,94.6770229148065,93.82557210476689,990
1...1843,7,180,165,elevee,331.614571833768,165.807285916884,2235,0,309.59412603802,94.20684904226209,93.35962660688311,1155
1...1844,8,180,165,elevee,331.614571833768,165.807285916884,2580,0,308.672193899245,93.92631296447448,93.08161345032099,1320
1...1845,9,180,165,elevee,331.614571833768,165.807285916884,2925,0,308.114299522592,93.75655046931519,92.91337766575701,1485
1...1846,10,180,165,elevee,331.614571833768,165.807285916884,3270,0,307.773813085494,93.65294335379554,92.81070231128898,1650
1...1847,11,180,165,elevee,331.614571833768,165.807285916884,3615,0,307.56493211738,93.5893826587567,92.74771323123773,1815
1...1848,12,180,165,elevee,331.614571833768,165.807285916884,3960,0,307.436380478579,93.55026549272502,92.70894785428516,1980
1...1849,13,180,165,elevee,331.614571833768,165.807285916884,4305,0,307.357111192301,93.52614452576209,92.68504381236092,2145
1...1850,14,180,165,elevee,331.614571833768,165.807285916884,4650,0,307.308172163293,93.51125279710745,92.67028600822181,2310
1...1851,15,180,165,elevee,331.614571833768,165.807285916884,4995,0,307.277935866081,93.50205215004253,92.66116810455287,2475
1...1852,16,180,165,elevee,331.614571833768,165.807285916884,5340,0,307.259246210106,93.49636504731347,92.65553214716064,2640
1...1853,2,210,165,elevee,331.614571833768,165.807285916884,540,0,351.361051429145,106.91616780626838,105.95464773643164,330
1...1854,3,210,165,elevee,331.614571833768,165.807285916884,915,0,332.419991635573,101.15256504187238,100.24287829010383,495
1...1855,4,210,165,elevee,331.614571833768,165.807285916884,1290,0,324.271707809841,98.67311184892009,97.7857233524684,660
1...1856,5,210,165,elevee,331.614571833768,165.807285916884,1665,0,320.242305920408,97.4469992595559,96.57063745707148,825
1...1857,6,210,165,elevee,331.614571833768,165.807285916884,2040,0,318.112761910794,96.79899720082847,95.92846302009242,990
1...1858,7,210,165,elevee,331.614571833768,165.807285916884,2415,0,316.947692151509,96.44447642118296,95.57713052199308,1155
1...1859,8,210,165,elevee,331.614571833768,165.807285916884,2790,0,316.298206080092,96.24684335537498,95.38127481281074,1320
1...1860,9,210,165,elevee,331.614571833768,165.807285916884,3165,0,315.932347152904,96.13551560776736,95.27094825955803,1485
1...1861,10,210,165,elevee,331.614571833768,165.807285916884,3540,0,315.725046279248,96.07243572198024,95.20843566473756,1650
1...1862,11,210,165,elevee,331.614571833768,165.807285916884,3915,0,315.607196695437,96.03657509990109,95.17289754493802,1815
1...1863,12,210,165,elevee,331.614571833768,165.807285916884,4290,0,315.540073487142,96.01615008075748,95.15265621238025,1980
1...1864,13,210,165,elevee,331.614571833768,165.807285916884,4665,0,315.501801331509,96.0045041905903,95.14111505620566,2145
1...1865,14,210,165,elevee,331.614571833768,165.807285916884,5040,0,315.479966063089,95.99785990485347,95.1345305239581,2310
1...1866,2,240,165,elevee,331.614571833768,165.807285916884,570,0,354.533893875846,107.88163667105728,106.91143393227212,330
1...1867,3,240,165,elevee,331.614571833768,165.807285916884,975,0,337.078267040979,102.570038472426,101.64760407752824,495
1...1868,4,240,165,elevee,331.614571833768,165.807285916884,1380,0,329.884444484977,100.38101969405658,99.47827161538055,660
1...1869,5,240,165,elevee,331.614571833768,165.807285916884,1785,0,326.51203784767,99.35482515007195,98.46130585942532,825
1...1870,6,240,165,elevee,331.614571833768,165.807285916884,2190,0,324.836102806968,98.84485242738319,97.95591943100801,990
1...1871,7,240,165,elevee,331.614571833768,165.807285916884,2595,0,323.979102298225,98.58407449018686,97.69748672583346,1155
1...1872,8,240,165,elevee,331.614571833768,165.807285916884,3000,0,323.534465999987,98.44877546121992,97.5634044701053,1320
1...1873,9,240,165,elevee,331.614571833768,165.807285916884,3405,0,323.302039348846,98.37805001588396,97.4933150738958,1485
1...1874,10,240,165,elevee,331.614571833768,165.807285916884,3810,0,323.180065556615,98.3409344323977,97.45653327882675,1650
1...1875,11,240,165,elevee,331.614571833768,165.807285916884,4215,0,323.11592418885,98.32141676186652,97.43719113490036,1815
1...1876,12,240,165,elevee,331.614571833768,165.807285916884,4620,0,323.082158293631,98.311142088266,97.42700886364723,1980
1...1877,13,240,165,elevee,331.614571833768,165.807285916884,5025,0,323.06437284533,98.30573012821147,97.42164557451231,2145
1...1878,2,270,165,elevee,331.614571833768,165.807285916884,600,0,357.629756313733,108.82368117646828,107.84500642903167,330
1...1879,3,270,165,elevee,331.614571833768,165.807285916884,1035,0,341.622746117506,103.95288465176702,103.01801402405044,495
1...1880,4,270,165,elevee,331.614571833768,165.807285916884,1470,0,335.330561981761,102.0382267459208,101.12057504814828,660
