"","Nrep","rest","interval_duration","niveau_endurance","PAM","rest_power","duration","PC","DR","power_cogganTSS"
"1...82",7,150,15,"moyenne",331.614571833768,165.807285916884,1005,272.148299743182,1,683.263069173827
"1...83",8,150,15,"moyenne",331.614571833768,165.807285916884,1170,267.142820643783,1,662.13476820405
"1...84",9,150,15,"moyenne",331.614571833768,165.807285916884,1335,263.021426522187,1,645.089344424478
"1...85",10,150,15,"moyenne",331.614571833768,165.807285916884,1500,259.52577918789,1,630.861218515133
"1...86",11,150,15,"moyenne",331.614571833768,165.807285916884,1665,256.494285616805,1,618.680296726684
"1...87",12,150,15,"moyenne",331.614571833768,165.807285916884,1830,253.819777826849,1,608.047195130787
"1...88",13,150,15,"moyenne",331.614571833768,165.807285916884,1995,251.427837343005,1,598.621603430131
"1...89",14,150,15,"moyenne",331.614571833768,165.807285916884,2160,249.264835722742,1,590.16220470455
"1...90",15,150,15,"moyenne",331.614571833768,165.807285916884,2325,247.290930299618,1,582.49221325115
"1...91",16,150,15,"moyenne",331.614571833768,165.807285916884,2490,245.475756318448,1,575.478553500588
"1...92",17,150,15,"moyenne",331.614571833768,165.807285916884,2655,243.795666903301,1,569.01872575431
"1...93",18,150,15,"moyenne",331.614571833768,165.807285916884,2820,242.231902345027,1,563.032213292443
"1...94",19,150,15,"moyenne",331.614571833768,165.807285916884,2985,240.769339112524,1,557.454682389485
"1...95",20,150,15,"moyenne",331.614571833768,165.807285916884,3150,239.39561263629,1,552.233960237757
"1...96",2,180,15,"moyenne",331.614571833768,165.807285916884,210,347.766873790563,1,1295.43395177329
"1...97",3,180,15,"moyenne",331.614571833768,165.807285916884,405,311.94215042744,1,935.852351493785
"1...98",4,180,15,"moyenne",331.614571833768,165.807285916884,600,292.043211850818,1,820.951817054582
"1...99",5,180,15,"moyenne",331.614571833768,165.807285916884,795,280.538772761663,1,761.95056611581
"1...100",6,180,15,"moyenne",331.614571833768,165.807285916884,990,272.660384516007,1,724.041788062784
"1...101",7,180,15,"moyenne",331.614571833768,165.807285916884,1185,266.736462247848,1,696.691062366443
"1...102",8,180,15,"moyenne",331.614571833768,165.807285916884,1380,262.014106032336,1,675.518415477639
"1...103",9,180,15,"moyenne",331.614571833768,165.807285916884,1575,258.097681829154,1,658.341698227474
"1...104",10,180,15,"moyenne",331.614571833768,165.807285916884,1770,254.756258549868,1,643.936324664353
"1...105",11,180,15,"moyenne",331.614571833768,165.807285916884,1965,251.844350760188,1,631.554262313207
"1...106",12,180,15,"moyenne",331.614571833768,165.807285916884,2160,249.264835722742,1,620.708570370618
"1...107",13,180,15,"moyenne",331.614571833768,165.807285916884,2355,246.94986192372,1,611.066183569536
"1...108",14,180,15,"moyenne",331.614571833768,165.807285916884,2550,244.850262081434,1,602.39008316151
"1...109",15,180,15,"moyenne",331.614571833768,165.807285916884,2745,242.92932242812,1,594.506047586063
"1...110",16,180,15,"moyenne",331.614571833768,165.807285916884,2940,241.158932660462,1,587.282515150839
"1...111",17,180,15,"moyenne",331.614571833768,165.807285916884,3135,239.517108211305,1,580.617849871191
"1...112",18,180,15,"moyenne",331.614571833768,165.807285916884,3330,237.986339805435,1,574.431989992264
"1...113",19,180,15,"moyenne",331.614571833768,165.807285916884,3525,236.552461105414,1,568.660797407582
"1...114",20,180,15,"moyenne",331.614571833768,165.807285916884,3720,235.203851646973,1,563.252129986007
