"","Nrep","rest","interval_duration","profil","PAM","rest_power","duration","PC","DR","power_cogganTSS"
"1...148",16,120,15,"sprinter",375.481359910061,187.740679955031,2040,251.366724913498,1,523.834444376644
"1...149",17,120,15,"sprinter",375.481359910061,187.740679955031,2175,248.53857619845,1,513.885937174364
"1...150",18,120,15,"sprinter",375.481359910061,187.740679955031,2310,245.908611567444,1,504.66137751068
"1...151",19,120,15,"sprinter",375.481359910061,187.740679955031,2445,243.450910530059,1,496.063060608095
"1...152",20,120,15,"sprinter",375.481359910061,187.740679955031,2580,241.144294432473,1,488.011631574106
"1...153",2,135,15,"sprinter",375.481359910061,187.740679955031,165,419.423240991797,1,1458.44078412661
"1...154",3,135,15,"sprinter",375.481359910061,187.740679955031,315,370.318964554109,1,1042.21480114099
"1...155",4,135,15,"sprinter",375.481359910061,187.740679955031,465,335.12769842841,1,874.641929007671
"1...156",5,135,15,"sprinter",375.481359910061,187.740679955031,615,314.850071643344,1,787.101307124724
"1...157",6,135,15,"sprinter",375.481359910061,187.740679955031,765,301.035566528866,1,730.378676167885
"1...158",7,135,15,"sprinter",375.481359910061,187.740679955031,915,290.702193166192,1,689.257019266453
"1...159",8,135,15,"sprinter",375.481359910061,187.740679955031,1065,282.503957853199,1,657.329712081377
"1...160",9,135,15,"sprinter",375.481359910061,187.740679955031,1215,275.733568659606,1,631.378242463694
"1...161",10,135,15,"sprinter",375.481359910061,187.740679955031,1365,269.978644470979,1,609.585695623527
"1...162",11,135,15,"sprinter",375.481359910061,187.740679955031,1515,264.979838175309,1,590.837304469402
"1...163",12,135,15,"sprinter",375.481359910061,187.740679955031,1665,260.564372783268,1,574.404929904554
"1...164",13,135,15,"sprinter",375.481359910061,187.740679955031,1815,256.611811948888,1,559.789196647606
"1...165",14,135,15,"sprinter",375.481359910061,187.740679955031,1965,253.035083153411,1,546.633974847328
"1...166",15,135,15,"sprinter",375.481359910061,187.740679955031,2115,249.76931674335,1,534.677035525723
"1...167",16,135,15,"sprinter",375.481359910061,187.740679955031,2265,246.764955914047,1,523.720077013546
"1...168",17,135,15,"sprinter",375.481359910061,187.740679955031,2415,243.983327627848,1,513.609723619827
"1...169",18,135,15,"sprinter",375.481359910061,187.740679955031,2565,241.393696093231,1,504.225037634401
"1...170",19,135,15,"sprinter",375.481359910061,187.740679955031,2715,238.971243926198,1,495.469054690683
"1...171",20,135,15,"sprinter",375.481359910061,187.740679955031,2865,236.69565309357,1,487.26289085488
"1...172",2,150,15,"sprinter",375.481359910061,187.740679955031,180,411.242141821481,1,1468.58169572937
"1...173",3,150,15,"sprinter",375.481359910061,187.740679955031,345,361.195181580405,1,1037.47995101513
"1...174",4,150,15,"sprinter",375.481359910061,187.740679955031,510,328.0523435615,1,873.283568550626
"1...175",5,150,15,"sprinter",375.481359910061,187.740679955031,675,308.773171186871,1,787.02164106109
"1...176",6,150,15,"sprinter",375.481359910061,187.740679955031,840,295.53934078974,1,730.820847837734
"1...177",7,150,15,"sprinter",375.481359910061,187.740679955031,1005,285.58119041226,1,689.885552324084
"1...178",8,150,15,"sprinter",375.481359910061,187.740679955031,1170,277.643091705647,1,657.977634225731
"1...179",9,150,15,"sprinter",375.481359910061,187.740679955031,1335,271.062379534291,1,631.956550110302
"1...180",10,150,15,"sprinter",375.481359910061,187.740679955031,1500,265.451108917843,1,610.045176197179
"1...181",11,150,15,"sprinter",375.481359910061,187.740679955031,1665,260.564372783268,1,591.150509561659
"1...182",12,150,15,"sprinter",375.481359910061,187.740679955031,1830,256.23844319021,1,574.556927683112
"1...183",13,150,15,"sprinter",375.481359910061,187.740679955031,1995,252.358825554717,1,559.772519002443
"1...184",14,150,15,"sprinter",375.481359910061,187.740679955031,2160,248.842500160516,1,546.44571724043
"1...185",15,150,15,"sprinter",375.481359910061,187.740679955031,2325,245.627450573195,1,534.317126253597
"1...186",16,150,15,"sprinter",375.481359910061,187.740679955031,2490,242.666183097605,1,523.190211776227
"1...187",17,150,15,"sprinter",375.481359910061,187.740679955031,2655,239.921551027961,1,512.912693300093
"1...188",18,150,15,"sprinter",375.481359910061,187.740679955031,2820,237.363970393702,1,503.364295968594
"1...189",19,150,15,"sprinter",375.481359910061,187.740679955031,2985,234.969508217366,1,494.448436241122
"1...190",20,150,15,"sprinter",375.481359910061,187.740679955031,3150,232.71853601182,1,486.086425281161
"1...191",2,165,15,"sprinter",375.481359910061,187.740679955031,195,404.339981865256,1,1479.63118115134
"1...192",3,165,15,"sprinter",375.481359910061,187.740679955031,375,353.357710015062,1,1033.90474443925
"1...193",4,165,15,"sprinter",375.481359910061,187.740679955031,555,321.913910279108,1,872.411699601286
"1...194",5,165,15,"sprinter",375.481359910061,187.740679955031,735,303.458525796799,1,787.10841122486
"1...195",6,165,15,"sprinter",375.481359910061,187.740679955031,915,290.702193166192,1,731.250326601857
"1...196",7,165,15,"sprinter",375.481359910061,187.740679955031,1095,281.051858860982,1,690.391245445108
