"","Nrep","rest","interval_duration","niveau_endurance","PAM","rest_power","duration","PC","P_coggan"
"5686",7,135,195,"faible",350.281232790258,175.140616395129,2175,238.976761445641,260.973940594374
"5687",8,135,195,"faible",350.281232790258,175.140616395129,2505,234.118390528169,255.390733654749
"5688",9,135,195,"faible",350.281232790258,175.140616395129,2835,229.969736210239,250.52409226872
"5689",10,135,195,"faible",350.281232790258,175.140616395129,3165,226.350081206232,246.202386357687
"5690",11,135,195,"faible",350.281232790258,175.140616395129,3495,223.139607544913,242.309296417138
"5691",12,135,195,"faible",350.281232790258,175.140616395129,3825,220.254927586647,238.762319090936
"5692",13,135,195,"faible",350.281232790258,175.140616395129,4155,217.635732572915,235.500789848186
"5693",14,135,195,"faible",350.281232790258,175.140616395129,4485,215.237022344073,232.478779728058
"5694",15,135,195,"faible",350.281232790258,175.140616395129,4815,213.024341156661,229.660665446556
"5695",16,135,195,"faible",350.281232790258,175.140616395129,5145,210.970728120094,227.018249825012
"5696",1,150,195,"faible",350.281232790258,175.140616395129,195,380.641197819501,380.641197819501
"5697",2,150,195,"faible",350.281232790258,175.140616395129,540,302.554590154693,325.608377167902
"5698",3,150,195,"faible",350.281232790258,175.140616395129,885,275.173713214274,300.842721154678
"5699",4,150,195,"faible",350.281232790258,175.140616395129,1230,260.520023132248,286.32610587839
"5700",5,150,195,"faible",350.281232790258,175.140616395129,1575,250.714828001176,276.009187420775
"5701",6,150,195,"faible",350.281232790258,175.140616395129,1920,243.394534680788,267.965184922022
"5702",7,150,195,"faible",350.281232790258,175.140616395129,2265,237.567511034545,261.345519481656
"5703",8,150,195,"faible",350.281232790258,175.140616395129,2610,232.731591716524,255.702927442734
"5704",9,150,195,"faible",350.281232790258,175.140616395129,2955,228.599585385852,250.772933531251
"5705",10,150,195,"faible",350.281232790258,175.140616395129,3300,224.99262496362,246.386111989414
"5706",11,150,195,"faible",350.281232790258,175.140616395129,3645,221.792055021288,242.427336047916
"5707",12,150,195,"faible",350.281232790258,175.140616395129,3990,218.915249286568,238.814758128536
"5708",13,150,195,"faible",350.281232790258,175.140616395129,4335,216.302415388249,235.488071684306
"5709",14,150,195,"faible",350.281232790258,175.140616395129,4680,213.908913976921,232.401535111565
"5710",15,150,195,"faible",350.281232790258,175.140616395129,5025,211.700547933304,229.519612458027
