X,Nrep,rest,interval_duration,profil,PAM,rest_power,duration,Wbal_skiba,power_skiba,percent_power_max,percent_PAM,cumul_time
1...87,12,75,15,all around,391.34815655162,195.67407827581,1005,0,746.161447055612,85.20502994729698,190.66435718784103,180
1...88,13,75,15,all around,391.34815655162,195.67407827581,1095,0,741.759653624757,84.70238411565047,189.53958034728004,195
1...89,14,75,15,all around,391.34815655162,195.67407827581,1185,0,738.456215059845,84.3251606836934,188.69546277329673,210
1...90,15,75,15,all around,391.34815655162,195.67407827581,1275,0,735.966731059263,84.04088365536403,188.05933252484525,225
1...91,16,75,15,all around,391.34815655162,195.67407827581,1365,0,734.084759079255,83.82597912022715,187.57843796880823,240
1...92,17,75,15,all around,391.34815655162,195.67407827581,1455,0,732.65867468847,83.6631329108663,187.21403497701928,255
1...93,18,75,15,all around,391.34815655162,195.67407827581,1545,0,731.576104032962,83.5395129282384,186.93740900155868,270
1...94,19,75,15,all around,391.34815655162,195.67407827581,1635,0,730.753182425539,83.44554256769318,186.7271303548738,285
1...95,20,75,15,all around,391.34815655162,195.67407827581,1725,0,730.126986837013,83.37403657648476,186.56712050736516,300
1...96,2,90,15,all around,391.34815655162,195.67407827581,120,0,1385.38193596636,158.19834944334806,354.002417738136,30
1...97,3,90,15,all around,391.34815655162,195.67407827581,225,0,1123.26213896535,128.2665897130897,287.0237460329492,45
1...98,4,90,15,all around,391.34815655162,195.67407827581,330,0,1000.48455631114,114.24647697718069,255.65076506989323,60
1...99,5,90,15,all around,391.34815655162,195.67407827581,435,0,932.126861988436,106.44063359720226,238.18353207586546,75
1...100,6,90,15,all around,391.34815655162,195.67407827581,540,0,890.379279901429,101.67342940032616,227.5158998440268,90
1...101,7,90,15,all around,391.34815655162,195.67407827581,645,0,863.428786488438,98.59592170087357,220.6293225184898,105
1...102,8,90,15,all around,391.34815655162,195.67407827581,750,0,845.402724592549,96.53750505427271,216.02317794003403,120
1...103,9,90,15,all around,391.34815655162,195.67407827581,855,0,833.058214218505,95.12787128097118,212.86882288114782,135
1...104,10,90,15,all around,391.34815655162,195.67407827581,960,0,824.467436468241,94.1468805337673,210.67364766275352,150
1...105,11,90,15,all around,391.34815655162,195.67407827581,1065,0,818.421819920326,93.45652465830945,209.12882971824445,165
1...106,12,90,15,all around,391.34815655162,195.67407827581,1170,0,814.133809687556,92.9668718603269,208.03312755100953,180
1...107,13,90,15,all around,391.34815655162,195.67407827581,1275,0,811.075476173081,92.61763725470912,207.25164092247303,195
1...108,14,90,15,all around,391.34815655162,195.67407827581,1380,0,808.885526647636,92.36756441104382,206.69204980423658,210
1...109,15,90,15,all around,391.34815655162,195.67407827581,1485,0,807.312940444228,92.18798899196419,206.29021165140995,225
1...110,16,90,15,all around,391.34815655162,195.67407827581,1590,0,806.181378055986,92.05877458728293,206.00106696801274,240
1...111,17,90,15,all around,391.34815655162,195.67407827581,1695,0,805.365963939734,91.96566151575013,205.79270668763297,255
1...112,18,90,15,all around,391.34815655162,195.67407827581,1800,0,804.777749163028,91.89849259692909,205.64240196104655,270
1...113,19,90,15,all around,391.34815655162,195.67407827581,1905,0,804.353106170922,91.85000212747093,205.53389423333735,285
1...114,20,90,15,all around,391.34815655162,195.67407827581,2010,0,804.046380280718,91.81497674688664,205.45551750277937,300
1...115,2,105,15,all around,391.34815655162,195.67407827581,135,0,1411.02528522774,161.12659285553016,360.5549845081796,30
1...116,3,105,15,all around,391.34815655162,195.67407827581,255,0,1159.64592616826,132.42129603094236,296.32078412902894,45
1...117,4,105,15,all around,391.34815655162,195.67407827581,375,0,1043.94666972584,119.20946546939679,266.75650625893275,60
1...118,5,105,15,all around,391.34815655162,195.67407827581,495,0,981.004290340861,112.02200310235287,250.67303216272174,75
1...119,6,105,15,all around,391.34815655162,195.67407827581,615,0,943.632294665263,107.75445212756732,241.12348017175216,90
1...120,7,105,15,all around,391.34815655162,195.67407827581,735,0,920.281406543761,105.08798747767194,235.15669899990272,105
1...121,8,105,15,all around,391.34815655162,195.67407827581,855,0,905.223318719235,103.36848718842401,231.30895177727336,120
1...122,9,105,15,all around,391.34815655162,195.67407827581,975,0,895.31437982752,102.23697411126611,228.7769508655972,135
1...123,10,105,15,all around,391.34815655162,195.67407827581,1095,0,888.706696163605,101.48243514830064,227.0885096264359,150
1...124,11,105,15,all around,391.34815655162,195.67407827581,1215,0,884.26133545484,100.97481431930781,225.95260017232337,165
1...125,12,105,15,all around,391.34815655162,195.67407827581,1335,0,881.252894391048,100.63127698975724,225.18386240943187,180
1...126,13,105,15,all around,391.34815655162,195.67407827581,1455,0,879.208718939274,100.39785025446662,224.66152049531982,195
1...127,14,105,15,all around,391.34815655162,195.67407827581,1575,0,877.815953985126,100.23880882972401,224.3056315174796,210
1...128,15,105,15,all around,391.34815655162,195.67407827581,1695,0,876.86525471639,100.13024739173606,224.06270223499288,225
1...129,16,105,15,all around,391.34815655162,195.67407827581,1815,0,876.215486781986,100.05604964736297,223.8966690178878,240
1...130,17,105,15,all around,391.34815655162,195.67407827581,1935,0,875.77101000585,100.00529433539799,223.78309322388063,255
1...131,18,105,15,all around,391.34815655162,195.67407827581,2055,0,875.466783656966,99.97055438029885,223.70535519348724,270
1...132,19,105,15,all around,391.34815655162,195.67407827581,2175,0,875.258468709298,99.94676665791711,223.65212511071294,285
1...133,20,105,15,all around,391.34815655162,195.67407827581,2295,0,875.115788265758,99.93047381470913,223.61566641245383,300
1...134,2,120,15,all around,391.34815655162,195.67407827581,150,0,1436.4574950334,164.0307260115222,367.05359945752724,30
1...135,3,120,15,all around,391.34815655162,195.67407827581,285,0,1195.98635390775,136.57105108202325,305.6067427137595,45
1...136,4,120,15,all around,391.34815655162,195.67407827581,420,0,1087.50641920787,124.18360313592851,277.88719609425954,60
1...137,5,120,15,all around,391.34815655162,195.67407827581,555,0,1030.01870391465,117.61901510677049,263.19753566509706,75
1...138,6,120,15,all around,391.34815655162,195.67407827581,690,0,996.946866362643,113.84250411152892,254.74678995482702,90
1...139,7,120,15,all around,391.34815655162,195.67407827581,825,0,977.017390334099,111.56673442583048,249.6542717725125,105
1...140,8,120,15,all around,391.34815655162,195.67407827581,960,0,964.670252289694,110.1568005958419,246.49924527303887,120
1...141,9,120,15,all around,391.34815655162,195.67407827581,1095,0,956.888951367486,109.2682449344339,244.510913197893,135
1...142,10,120,15,all around,391.34815655162,195.67407827581,1230,0,951.932205405887,108.70222843791592,243.2443310309357,150
1...143,11,120,15,all around,391.34815655162,195.67407827581,1365,0,948.753115168393,108.33920448383773,242.4319878055308,165
1...144,12,120,15,all around,391.34815655162,195.67407827581,1500,0,946.705226760738,108.10535376186394,241.9086971311349,180
1...145,13,120,15,all around,391.34815655162,195.67407827581,1635,0,945.382314864674,107.95428893780132,241.5706574920266,195
1...146,14,120,15,all around,391.34815655162,195.67407827581,1770,0,944.526176329373,107.85652549823041,241.35189102514326,210
1...147,15,120,15,all around,391.34815655162,195.67407827581,1905,0,943.971464680736,107.79318233996253,241.21014725061656,225
1...148,16,120,15,all around,391.34815655162,195.67407827581,2040,0,943.611780800603,107.7521096258747,241.1182383265265,240
1...149,17,120,15,all around,391.34815655162,195.67407827581,2175,0,943.378440957028,107.7254642819774,241.0586137084802,255
1...150,18,120,15,all around,391.34815655162,195.67407827581,2310,0,943.227016577501,107.7081729587078,241.01992069894584,270
1...151,19,120,15,all around,391.34815655162,195.67407827581,2445,0,943.128730300774,107.69694953623672,240.99480590663583,285
1...152,20,120,15,all around,391.34815655162,195.67407827581,2580,0,943.064926214135,107.68966367453174,240.97850224311506,300
1...153,2,135,15,all around,391.34815655162,195.67407827581,165,0,1461.64461210557,166.90687174766126,373.48958660874,30
1...154,3,135,15,all around,391.34815655162,195.67407827581,315,0,1232.17910587734,140.7039428678597,314.85496615973244,45
1...155,4,135,15,all around,391.34815655162,195.67407827581,465,0,1130.96635597954,129.1463430747849,288.9923810923489,60
1...156,5,135,15,all around,391.34815655162,195.67407827581,615,0,1078.86747727829,123.19711246594356,275.67971363012776,75
1...157,6,135,15,all around,391.34815655162,195.67407827581,765,0,1049.91712816772,119.89123895467519,268.2821192819987,90
1...158,7,135,15,all around,391.34815655162,195.67407827581,915,0,1033.14334474126,117.97582142027869,263.9959655987252,105
1...159,8,135,15,all around,391.34815655162,195.67407827581,1065,0,1023.18854020411,116.83907089255526,261.4522447786587,120
1...160,9,135,15,all around,391.34815655162,195.67407827581,1215,0,1017.1962771325,116.15480751164304,259.9210600851083,135
1...161,10,135,15,all around,391.34815655162,195.67407827581,1365,0,1013.55843052175,115.7393976420555,258.99149224382734,150
1...162,11,135,15,all around,391.34815655162,195.67407827581,1515,0,1011.33850925738,115.48590229120661,258.42424253862083,165
1...163,12,135,15,all around,391.34815655162,195.67407827581,1665,0,1009.97958233776,115.33072487036917,258.0770000904657,180
1...164,13,135,15,all around,391.34815655162,195.67407827581,1815,0,1009.14611244124,115.23554998861485,257.8640260716625,195
1...165,14,135,15,all around,391.34815655162,195.67407827581,1965,0,1008.63431766351,115.17710755697297,257.73324871417105,210
1...166,15,135,15,all around,391.34815655162,195.67407827581,2115,0,1008.31982090328,115.14119481184323,257.65288631691294,225
1...167,16,135,15,all around,391.34815655162,195.67407827581,2265,0,1008.12647736176,115.11911669147085,257.60348183185704,240
1...168,17,135,15,all around,391.34815655162,195.67407827581,2415,0,1008.00758282296,115.10553998795852,257.57310107323855,255
1...169,18,135,15,all around,391.34815655162,195.67407827581,2565,0,1007.93445760728,115.09718973585623,257.5544156100632,270
1...170,19,135,15,all around,391.34815655162,195.67407827581,2715,0,1007.88947782798,115.09205344335895,257.5429220643426,285
1...171,20,135,15,all around,391.34815655162,195.67407827581,2865,0,1007.86180872357,115.08889387664698,257.53585186254224,300
1...172,2,150,15,all around,391.34815655162,195.67407827581,180,0,1486.55404036727,169.75130788059644,379.85461678575433,30
1...173,3,150,15,all around,391.34815655162,195.67407827581,345,0,1268.1239019499901,144.80852028593068,324.0398301921529,45
1...174,4,150,15,all around,391.34815655162,195.67407827581,510,0,1174.14011587023,134.07640414794764,300.02444018548925,60
1...175,5,150,15,all around,391.34815655162,195.67407827581,675,0,1127.27419679509,128.7247311902221,288.0489349248791,75
1...176,6,150,15,all around,391.34815655162,195.67407827581,840,0,1102.18843230154,125.860159021078,281.6388460887404,90
1...177,7,150,15,all around,391.34815655162,195.67407827581,1005,0,1088.25063706829,124.2685862254926,278.07736381268643,105
1...178,8,150,15,all around,391.34815655162,195.67407827581,1170,0,1080.34594350182,123.36594021675948,276.0575015917621,120
1...179,9,150,15,all around,391.34815655162,195.67407827581,1335,0,1075.81055225113,122.84803869710493,274.89858690805596,135
1...180,10,150,15,all around,391.34815655162,195.67407827581,1500,0,1073.19099219248,122.54890813477586,274.2292187214948,150
1...181,11,150,15,all around,391.34815655162,195.67407827581,1665,0,1071.67217570232,122.37547274081493,273.8411201793826,165
1...182,12,150,15,all around,391.34815655162,195.67407827581,1830,0,1070.78961238205,122.2746918247937,273.6156014678479,180
1...183,13,150,15,all around,391.34815655162,195.67407827581,1995,0,1070.27610565881,122.21605390413394,273.48438666214525,195
1...184,14,150,15,all around,391.34815655162,195.67407827581,2160,0,1069.97710513174,122.18191069161102,273.40798397005017,210
1...185,15,150,15,all around,391.34815655162,195.67407827581,2325,0,1069.80292953457,122.16202138075005,273.36347741131107,225
1...186,16,150,15,all around,391.34815655162,195.67407827581,2490,0,1069.70144191611,122.15043239340116,273.337544589919,240
1...187,17,150,15,all around,391.34815655162,195.67407827581,2655,0,1069.64229894506,122.14367878982195,273.3224319670383,255
1...188,18,150,15,all around,391.34815655162,195.67407827581,2820,0,1069.60782978525,122.13974271699823,273.3136241678362,270
1...189,19,150,15,all around,391.34815655162,195.67407827581,2985,0,1069.58773977756,122.13744861601832,273.30849062948846,285
1...190,20,150,15,all around,391.34815655162,195.67407827581,3150,0,1069.57603017267,122.13611148282916,273.30549850989007,300
1...191,2,165,15,all around,391.34815655162,195.67407827581,195,0,1511.15469725506,172.560485056821,386.1407475560024,30
1...192,3,165,15,all around,391.34815655162,195.67407827581,375,0,1303.72549368727,148.87390680799834,333.1369962682588,45
1...193,4,165,15,all around,391.34815655162,195.67407827581,555,0,1216.85508393787,138.95407525754845,310.93926560437575,60
1...194,5,165,15,all around,391.34815655162,195.67407827581,735,0,1174.99297845957,134.17379350349853,300.24236955989977,75
1...195,6,165,15,all around,391.34815655162,195.67407827581,915,0,1153.46143546875,131.7150819571117,294.7404800964241,90
1...196,7,165,15,all around,391.34815655162,195.67407827581,1095,0,1142.01534446383,130.40803972020421,291.81569539684153,105
1...197,8,165,15,all around,391.34815655162,195.67407827581,1275,0,1135.82382794444,129.7010233599573,290.23359607792645,120
1...198,9,165,15,all around,391.34815655162,195.67407827581,1455,0,1132.44311132343,129.3149754582959,289.3697318781307,135
1...199,10,165,15,all around,391.34815655162,195.67407827581,1635,0,1130.58770463043,129.10310444369802,288.8956254688023,150
1...200,11,165,15,all around,391.34815655162,195.67407827581,1815,0,1129.56656369087,128.9864991906674,288.6346964411667,165
1...201,12,165,15,all around,391.34815655162,195.67407827581,1995,0,1129.00370264393,128.92222544327674,288.49087027576456,180
1...202,13,165,15,all around,391.34815655162,195.67407827581,2175,0,1128.69318570536,128.88676715853904,288.4115248301884,195
1...203,14,165,15,all around,391.34815655162,195.67407827581,2355,0,1128.5218007467,128.86719651388464,288.36773135479035,210
1...204,15,165,15,all around,391.34815655162,195.67407827581,2535,0,1128.42718306289,128.85639201223907,288.34355398683147,225
1...205,16,165,15,all around,391.34815655162,195.67407827581,2715,0,1128.37493937087,128.85042624523152,288.3302043156639,240
1...206,17,165,15,all around,391.34815655162,195.67407827581,2895,0,1128.34609044764,128.8471319536577,288.3228326383615,255
1...207,18,165,15,all around,391.34815655162,195.67407827581,3075,0,1128.33015940355,128.84531276949303,288.31876182728865,270
1...208,19,165,15,all around,391.34815655162,195.67407827581,3255,0,1128.3213617005,128.84430814970892,288.31651377708,285
1...209,20,165,15,all around,391.34815655162,195.67407827581,3435,0,1128.31650322386,128.84375335469878,288.3152723053729,300
1...210,2,180,15,all around,391.34815655162,195.67407827581,210,0,1535.41715295837,175.3310426525707,392.34045880981273,30
1...211,3,180,15,all around,391.34815655162,195.67407827581,405,0,1338.89451366208,152.88989746524203,342.1236286021641,45
1...212,4,180,15,all around,391.34815655162,195.67407827581,600,0,1258.95439711552,143.76144403037512,321.696774608279,60
1...213,5,180,15,all around,391.34815655162,195.67407827581,795,0,1221.81089178026,139.51998462915984,312.2056080565949,75
1...214,6,180,15,all around,391.34815655162,195.67407827581,990,0,1203.49240913299,137.4281761221554,307.5247420960435,90
1...215,7,180,15,all around,391.34815655162,195.67407827581,1185,0,1194.19266400936,136.36622757886371,305.14840660859034,105
1...216,8,180,15,all around,391.34815655162,195.67407827581,1380,0,1189.40205191402,135.81918209874672,303.92427612141677,120
1...217,9,180,15,all around,391.34815655162,195.67407827581,1575,0,1186.91568886818,135.53526145581267,303.28894336100507,135
1...218,10,180,15,all around,391.34815655162,195.67407827581,1770,0,1185.62022989105,135.38733151199497,302.9579186824822,150
1...219,11,180,15,all around,391.34815655162,195.67407827581,1965,0,1184.94389747229,135.3101003387386,302.78509752376783,165
1...220,12,180,15,all around,391.34815655162,195.67407827581,2160,0,1184.59042580722,135.2697370046014,302.6947759880323,180
1...221,13,180,15,all around,391.34815655162,195.67407827581,2355,0,1184.40558909377,135.2486302886661,302.64754522678925,195
1...222,14,180,15,all around,391.34815655162,195.67407827581,2550,0,1184.30890679855,135.23759002667978,302.6228402949781,210
1...223,15,180,15,all around,391.34815655162,195.67407827581,2745,0,1184.25832769963,135.2318143414642,302.6099159722049,225
1...224,16,180,15,all around,391.34815655162,195.67407827581,2940,0,1184.23186528632,135.22879256819053,302.6031541124984,240
1...225,17,180,15,all around,391.34815655162,195.67407827581,3135,0,1184.21801987974,135.22721154536106,302.5996162380129,255
1...226,18,180,15,all around,391.34815655162,195.67407827581,3330,0,1184.21077566447,135.2263843201252,302.5977651457952,270
1...227,19,180,15,all around,391.34815655162,195.67407827581,3525,0,1184.20698529205,135.22595149315882,302.5967966034994,285
1...228,20,180,15,all around,391.34815655162,195.67407827581,3720,0,1184.20500205338,135.2257250248644,302.59628983257517,300
1...229,2,195,15,all around,391.34815655162,195.67407827581,225,0,1559.31375148696,178.0598225986556,398.4466836964088,30
1...230,3,195,15,all around,391.34815655162,195.67407827581,435,0,1373.54816826153,156.84703796021236,350.9785711946633,45
1...231,4,195,15,all around,391.34815655162,195.67407827581,645,0,1300.29828696411,148.48255014834416,332.2612525945543,60
1...232,5,195,15,all around,391.34815655162,195.67407827581,855,0,1267.54869710473,144.742836986077,323.8928498536409,75
1...233,6,195,15,all around,391.34815655162,195.67407827581,1065,0,1252.09066474126,142.9776665720157,319.94290602365606,90
1...234,7,195,15,all around,391.34815655162,195.67407827581,1275,0,1244.6079514931,142.12320697897135,318.03087114553267,105
1...235,8,195,15,all around,391.34815655162,195.67407827581,1485,0,1240.94160775198,141.70454298943943,317.094021519505,120
1...236,9,195,15,all around,391.34815655162,195.67407827581,1695,0,1239.13451251396,141.49818871519932,316.632259988815,135
1...237,10,195,15,all around,391.34815655162,195.67407827581,1905,0,1238.24121611654,141.39618217680962,316.4039986868349,150
1...238,11,195,15,all around,391.34815655162,195.67407827581,2115,0,1237.79899872743,141.345684866836,316.29100022709844,165
1...239,12,195,15,all around,391.34815655162,195.67407827581,2325,0,1237.57992732933,141.32066885306398,316.23502158137535,180
1...240,13,195,15,all around,391.34815655162,195.67407827581,2535,0,1237.47136256232,141.30827171801928,316.2072803578146,195
1...241,14,195,15,all around,391.34815655162,195.67407827581,2745,0,1237.41755192653,141.3021270199086,316.1935302902879,210
