"","Nrep","rest","interval_duration","profil","PAM","rest_power","duration","Wbal_skiba","power_skiba"
"1...196",10,30,30,"pursuiter",416.548283671423,208.274141835712,570,0,458.103258008829
"1...197",11,30,30,"pursuiter",416.548283671423,208.274141835712,630,0,450.077813665077
"1...198",12,30,30,"pursuiter",416.548283671423,208.274141835712,690,0,443.509017654959
"1...199",13,30,30,"pursuiter",416.548283671423,208.274141835712,750,0,438.057600963884
"1...200",14,30,30,"pursuiter",416.548283671423,208.274141835712,810,0,433.481324889417
"1...201",15,30,30,"pursuiter",416.548283671423,208.274141835712,870,0,429.602581124538
"1...202",16,30,30,"pursuiter",416.548283671423,208.274141835712,930,0,426.288166201972
"1...203",17,30,30,"pursuiter",416.548283671423,208.274141835712,990,0,423.436207823043
"1...204",18,30,30,"pursuiter",416.548283671423,208.274141835712,1050,0,420.967456760477
"1...205",19,30,30,"pursuiter",416.548283671423,208.274141835712,1110,0,418.819333179944
"1...206",20,30,30,"pursuiter",416.548283671423,208.274141835712,1170,0,416.941761719638
"1...207",2,60,30,"pursuiter",416.548283671423,208.274141835712,120,0,868.119280668775
"1...208",3,60,30,"pursuiter",416.548283671423,208.274141835712,210,0,714.517320001333
"1...209",4,60,30,"pursuiter",416.548283671423,208.274141835712,300,0,639.747293740156
"1...210",5,60,30,"pursuiter",416.548283671423,208.274141835712,390,0,596.190860485544
"1...211",6,60,30,"pursuiter",416.548283671423,208.274141835712,480,0,568.13046466141
"1...212",7,60,30,"pursuiter",416.548283671423,208.274141835712,570,0,548.864537775797
"1...213",8,60,30,"pursuiter",416.548283671423,208.274141835712,660,0,535.051716015012
"1...214",9,60,30,"pursuiter",416.548283671423,208.274141835712,750,0,524.838370323611
"1...215",10,60,30,"pursuiter",416.548283671423,208.274141835712,840,0,517.113046631557
"1...216",11,60,30,"pursuiter",416.548283671423,208.274141835712,930,0,511.168688468375
"1...217",12,60,30,"pursuiter",416.548283671423,208.274141835712,1020,0,506.534150537089
"1...218",13,60,30,"pursuiter",416.548283671423,208.274141835712,1110,0,502.883622004462
"1...219",14,60,30,"pursuiter",416.548283671423,208.274141835712,1200,0,499.984912444541
"1...220",15,60,30,"pursuiter",416.548283671423,208.274141835712,1290,0,497.668423390233
"1...221",16,60,30,"pursuiter",416.548283671423,208.274141835712,1380,0,495.807736590392
"1...222",17,60,30,"pursuiter",416.548283671423,208.274141835712,1470,0,494.307027338337
"1...223",18,60,30,"pursuiter",416.548283671423,208.274141835712,1560,0,493.092645914948
"1...224",19,60,30,"pursuiter",416.548283671423,208.274141835712,1650,0,492.107331735107
"1...225",20,60,30,"pursuiter",416.548283671423,208.274141835712,1740,0,491.306140543886
"1...226",2,90,30,"pursuiter",416.548283671423,208.274141835712,150,0,893.400426446753
"1...227",3,90,30,"pursuiter",416.548283671423,208.274141835712,270,0,750.095765573933
"1...228",4,90,30,"pursuiter",416.548283671423,208.274141835712,390,0,681.941121092873
"1...229",5,90,30,"pursuiter",416.548283671423,208.274141835712,510,0,643.446748947285
"1...230",6,90,30,"pursuiter",416.548283671423,208.274141835712,630,0,619.575018387732
"1...231",7,90,30,"pursuiter",416.548283671423,208.274141835712,750,0,603.90430471017
"1...232",8,90,30,"pursuiter",416.548283671423,208.274141835712,870,0,593.229486922963
"1...233",9,90,30,"pursuiter",416.548283671423,208.274141835712,990,0,585.77338247162
"1...234",10,90,30,"pursuiter",416.548283671423,208.274141835712,1110,0,580.47389350864
"1...235",11,90,30,"pursuiter",416.548283671423,208.274141835712,1230,0,576.66039837731
"1...236",12,90,30,"pursuiter",416.548283671423,208.274141835712,1350,0,573.891749299222
"1...237",13,90,30,"pursuiter",416.548283671423,208.274141835712,1470,0,571.868691106051
"1...238",14,90,30,"pursuiter",416.548283671423,208.274141835712,1590,0,570.383474067528
"1...239",15,90,30,"pursuiter",416.548283671423,208.274141835712,1710,0,569.289343919579
"1...240",16,90,30,"pursuiter",416.548283671423,208.274141835712,1830,0,568.481270660411
"1...241",17,90,30,"pursuiter",416.548283671423,208.274141835712,1950,0,567.883345802089
"1...242",18,90,30,"pursuiter",416.548283671423,208.274141835712,2070,0,567.440303966107
"1...243",19,90,30,"pursuiter",416.548283671423,208.274141835712,2190,0,567.111687714878
"1...244",20,90,30,"pursuiter",416.548283671423,208.274141835712,2310,0,566.8677582694
"1...245",2,120,30,"pursuiter",416.548283671423,208.274141835712,180,0,918.359313142554
"1...246",3,120,30,"pursuiter",416.548283671423,208.274141835712,330,0,785.804930707194
"1...247",4,120,30,"pursuiter",416.548283671423,208.274141835712,480,0,724.756056521682
"1...248",5,120,30,"pursuiter",416.548283671423,208.274141835712,630,0,691.695493572553
"1...249",6,120,30,"pursuiter",416.548283671423,208.274141835712,780,0,672.214083051434
"1...250",7,120,30,"pursuiter",416.548283671423,208.274141835712,930,0,660.159097301767
"1...251",8,120,30,"pursuiter",416.548283671423,208.274141835712,1080,0,652.472557594149
"1...252",9,120,30,"pursuiter",416.548283671423,208.274141835712,1230,0,647.477386791822
"1...253",10,120,30,"pursuiter",416.548283671423,208.274141835712,1380,0,644.191014916981
"1...254",11,120,30,"pursuiter",416.548283671423,208.274141835712,1530,0,642.011331478504
"1...255",12,120,30,"pursuiter",416.548283671423,208.274141835712,1680,0,640.55789781962
"1...256",13,120,30,"pursuiter",416.548283671423,208.274141835712,1830,0,639.58527154464
"1...257",14,120,30,"pursuiter",416.548283671423,208.274141835712,1980,0,638.932843313194
