"","Nrep","rest","interval_duration","profil","PAM","rest_power","duration","Wbal_skiba","power_skiba"
"1...201",12,165,15,"sprinter",375.481359910061,187.740679955031,1995,0,940.848071864568
"1...202",13,165,15,"sprinter",375.481359910061,187.740679955031,2175,0,938.153571179516
"1...203",14,165,15,"sprinter",375.481359910061,187.740679955031,2355,0,936.29515794037
"1...204",15,165,15,"sprinter",375.481359910061,187.740679955031,2535,0,935.010753261581
"1...205",16,165,15,"sprinter",375.481359910061,187.740679955031,2715,0,934.121797307721
"1...206",17,165,15,"sprinter",375.481359910061,187.740679955031,2895,0,933.505930529875
"1...207",18,165,15,"sprinter",375.481359910061,187.740679955031,3075,0,933.078967863508
"1...208",19,165,15,"sprinter",375.481359910061,187.740679955031,3255,0,932.782826806121
"1...209",20,165,15,"sprinter",375.481359910061,187.740679955031,3435,0,932.577356090051
"1...210",2,180,15,"sprinter",375.481359910061,187.740679955031,210,0,1602.84055272614
"1...211",3,180,15,"sprinter",375.481359910061,187.740679955031,405,0,1308.02938210895
"1...212",4,180,15,"sprinter",375.481359910061,187.740679955031,600,0,1173.31183039092
"1...213",5,180,15,"sprinter",375.481359910061,187.740679955031,795,0,1100.71033392823
"1...214",6,180,15,"sprinter",375.481359910061,187.740679955031,990,0,1058.09139578719
"1...215",7,180,15,"sprinter",375.481359910061,187.740679955031,1185,0,1031.80853950429
"1...216",8,180,15,"sprinter",375.481359910061,187.740679955031,1380,0,1015.10446383478
"1...217",9,180,15,"sprinter",375.481359910061,187.740679955031,1575,0,1004.28415744765
"1...218",10,180,15,"sprinter",375.481359910061,187.740679955031,1770,0,997.188479547584
"1...219",11,180,15,"sprinter",375.481359910061,187.740679955031,1965,0,992.497745292659
"1...220",12,180,15,"sprinter",375.481359910061,187.740679955031,2160,0,989.38033856537
"1...221",13,180,15,"sprinter",375.481359910061,187.740679955031,2355,0,987.301230397735
"1...222",14,180,15,"sprinter",375.481359910061,187.740679955031,2550,0,985.911338050177
"1...223",15,180,15,"sprinter",375.481359910061,187.740679955031,2745,0,984.980729237143
