"","Nrep","rest","interval_duration","niveau_endurance","PAM","rest_power","duration","PC","DR","power_cogganTSS"
"1...170",19,270,15,"faible",350.281232790258,175.140616395129,5145,210.970728120094,1,499.616712053203
"1...171",2,300,15,"faible",350.281232790258,175.140616395129,330,340.92083869052,1,1457.56241162398
"1...172",3,300,15,"faible",350.281232790258,175.140616395129,645,291.750472818421,1,959.906288169771
"1...173",4,300,15,"faible",350.281232790258,175.140616395129,960,271.345389857748,1,825.531269202878
"1...174",5,300,15,"faible",350.281232790258,175.140616395129,1275,259.040545072449,1,754.071967802399
"1...175",6,300,15,"faible",350.281232790258,175.140616395129,1590,250.354834600211,1,706.819778195161
"1...176",7,300,15,"faible",350.281232790258,175.140616395129,1905,243.67692449301,1,671.939559826474
"1...177",8,300,15,"faible",350.281232790258,175.140616395129,2220,238.26343186362,1,644.441072459177
"1...178",9,300,15,"faible",350.281232790258,175.140616395129,2535,233.715215942938,1,621.801351306558
"1...179",10,300,15,"faible",350.281232790258,175.140616395129,2850,229.794812153135,1,602.584184109701
"1...180",11,300,15,"faible",350.281232790258,175.140616395129,3165,226.350081206232,1,585.900362167908
"1...181",12,300,15,"faible",350.281232790258,175.140616395129,3480,223.277940047239,1,571.163739559495
"1...182",13,300,15,"faible",350.281232790258,175.140616395129,3795,220.505422158265,1,557.968723593432
"1...183",14,300,15,"faible",350.281232790258,175.140616395129,4110,217.97903496054,1,546.023588106938
"1...184",15,300,15,"faible",350.281232790258,175.140616395129,4425,215.658419132002,1,535.111785559666
"1...185",16,300,15,"faible",350.281232790258,175.140616395129,4740,213.51238590717,1,525.068311374946
"1...186",17,300,15,"faible",350.281232790258,175.140616395129,5055,211.516339940937,1,515.76463220209
"1...187",18,300,15,"faible",350.281232790258,175.140616395129,5370,209.650545888337,1,507.098722085791
"1...188",2,30,30,"faible",350.281232790258,175.140616395129,90,483.089806086483,1,659.197963122782
"1...189",3,30,30,"faible",350.281232790258,175.140616395129,150,406.840633607444,1,548.704818979933
"1...190",4,30,30,"faible",350.281232790258,175.140616395129,210,374.432806151914,1,500.996274443311
"1...191",5,30,30,"faible",350.281232790258,175.140616395129,270,356.537006399118,1,474.501938536936
"1...192",6,30,30,"faible",350.281232790258,175.140616395129,330,340.92083869052,1,451.224054911386
"1...193",7,30,30,"faible",350.281232790258,175.140616395129,390,326.222196930961,1,429.223311664012
"1...194",8,30,30,"faible",350.281232790258,175.140616395129,450,315.103534104308,1,412.559654686855
"1...195",9,30,30,"faible",350.281232790258,175.140616395129,510,306.313995307431,1,399.373941805342
"1...196",10,30,30,"faible",350.281232790258,175.140616395129,570,299.13196222542,1,388.591557598766
"1...197",11,30,30,"faible",350.281232790258,175.140616395129,630,293.11089830392,1,379.546567519924
"1...198",12,30,30,"faible",350.281232790258,175.140616395129,690,287.959017642202,1,371.803328296121
"1...199",13,30,30,"faible",350.281232790258,175.140616395129,750,283.477153502027,1,365.064206534781
"1...200",14,30,30,"faible",350.281232790258,175.140616395129,810,279.524411396216,1,359.118490188114
"1...201",15,30,30,"faible",350.281232790258,175.140616395129,870,275.998101236681,1,353.812503969297
"1...202",16,30,30,"faible",350.281232790258,175.140616395129,930,272.821461819478,1,349.03131116941
"1...203",17,30,30,"faible",350.281232790258,175.140616395129,990,269.935855640355,1,344.687069523355
"1...204",18,30,30,"faible",350.281232790258,175.140616395129,1050,267.295639099946,1,340.711372968533
"1...205",19,30,30,"faible",350.281232790258,175.140616395129,1110,264.864693087036,1,337.050069008839
"1...206",20,30,30,"faible",350.281232790258,175.140616395129,1170,262.61401702198,1,333.659662750883
"1...207",2,60,30,"faible",350.281232790258,175.140616395129,120,435.448735817889,1,652.920450903588
"1...208",3,60,30,"faible",350.281232790258,175.140616395129,210,374.432806151914,1,555.469481174524
"1...209",4,60,30,"faible",350.281232790258,175.140616395129,300,350.281232790258,1,516.256159958357
"1...210",5,60,30,"faible",350.281232790258,175.140616395129,390,326.222196930961,1,476.51661170846
"1...211",6,60,30,"faible",350.281232790258,175.140616395129,480,310.471207424884,1,450.413187536592
"1...212",7,60,30,"faible",350.281232790258,175.140616395129,570,299.13196222542,1,431.579719290784
"1...213",8,60,30,"faible",350.281232790258,175.140616395129,660,290.440434145975,1,417.120863914301
"1...214",9,60,30,"faible",350.281232790258,175.140616395129,750,283.477153502027,1,405.522938968816
"1...215",10,60,30,"faible",350.281232790258,175.140616395129,840,277.713249796824,1,395.913396374425
"1...216",11,60,30,"faible",350.281232790258,175.140616395129,930,272.821461819478,1,387.751408703232
"1...217",12,60,30,"faible",350.281232790258,175.140616395129,1020,268.587522022445,1,380.682406897994
"1...218",13,60,30,"faible",350.281232790258,175.140616395129,1110,264.864693087036,1,374.463302298302
"1...219",14,60,30,"faible",350.281232790258,175.140616395129,1200,261.548733829539,1,368.921244834881
"1...220",15,60,30,"faible",350.281232790258,175.140616395129,1290,258.563303202974,1,363.929545595694
"1...221",16,60,30,"faible",350.281232790258,175.140616395129,1380,255.851038494696,1,359.392943211496
"1...222",17,60,30,"faible",350.281232790258,175.140616395129,1470,253.36788090192,1,355.238224119024
"1...223",18,60,30,"faible",350.281232790258,175.140616395129,1560,251.079342126814,1,351.40804619331
"1...224",19,60,30,"faible",350.281232790258,175.140616395129,1650,248.957975129989,1,347.85675142539
"1...225",20,60,30,"faible",350.281232790258,175.140616395129,1740,246.981616381765,1,344.547453964018
"1...226",2,90,30,"faible",350.281232790258,175.140616395129,150,406.840633607444,1,651.932168372865
"1...227",3,90,30,"faible",350.281232790258,175.140616395129,270,356.537006399118,1,565.896321748495
"1...228",4,90,30,"faible",350.281232790258,175.140616395129,390,326.222196930961,1,512.459746776893
"1...229",5,90,30,"faible",350.281232790258,175.140616395129,510,306.313995307431,1,477.039251739136
"1...230",6,90,30,"faible",350.281232790258,175.140616395129,630,293.11089830392,1,453.459602273126
"1...231",7,90,30,"faible",350.281232790258,175.140616395129,750,283.477153502027,1,436.210797137824
"1...232",8,90,30,"faible",350.281232790258,175.140616395129,870,275.998101236681,1,422.795079528356
"1...233",9,90,30,"faible",350.281232790258,175.140616395129,990,269.935855640355,1,411.905359797221
"1...234",10,90,30,"faible",350.281232790258,175.140616395129,1110,264.864693087036,1,402.785685255355
"1...235",11,90,30,"faible",350.281232790258,175.140616395129,1230,260.520023132248,1,394.965333713663
"1...236",12,90,30,"faible",350.281232790258,175.140616395129,1350,256.727721142959,1,388.134047838809
"1...237",13,90,30,"faible",350.281232790258,175.140616395129,1470,253.36788090192,1,382.077900253982
"1...238",14,90,30,"faible",350.281232790258,175.140616395129,1590,250.354834600211,1,376.643879393761
"1...239",15,90,30,"faible",350.281232790258,175.140616395129,1710,247.625481578997,1,371.719172051132
"1...240",16,90,30,"faible",350.281232790258,175.140616395129,1830,245.132136546632,1,367.218452441307
"1...241",17,90,30,"faible",350.281232790258,175.140616395129,1950,242.837967721212,1,363.075765523306
"1...242",18,90,30,"faible",350.281232790258,175.140616395129,2070,240.713985844114,1,359.239164553946
