"","Nrep","intensity","rest","interval_duration","niveau_endurance","PAM","rest_power","duration","PC","DR","power_cogganEXP"
"1...166",7,82.5,180,285,"elevee",320,160,3075,259.588545199693,1,285.929555306244
"1...167",9,80,120,285,"elevee",320,160,3525,256.039084746422,1,274.739626127331
"1...168",12,77.5,120,285,"elevee",320,160,4740,248.354532827083,1,266.7575983856
"1...169",15,75,120,285,"elevee",320,160,5955,242.430938561933,1,260.501751086349
"1...170",18,72.5,60,285,"elevee",320,160,6150,241.594424332627,1,251.269617486697
"1...171",21,70,60,285,"elevee",320,160,7185,237.556622290613,1,247.082216820985
"1...172",2,95,420,300,"elevee",320,160,1020,288.234220758198,1,326.896483446409
"1...173",3,90,300,300,"elevee",320,160,1500,278.222297800092,1,313.175038778467
"1...174",5,85,240,300,"elevee",320,160,2460,265.381206563245,1,296.759820559385
"1...175",7,82.5,180,300,"elevee",320,160,3180,258.716166854189,1,283.797251826042
"1...176",9,80,120,300,"elevee",320,160,3660,255.063861333127,1,272.83070245127
"1...177",12,77.5,120,300,"elevee",320,160,4920,247.387132806795,1,264.873739458336
"1...178",15,75,120,300,"elevee",320,160,6180,241.468235134311,1,258.63995806781
"1...179",18,72.5,60,300,"elevee",320,160,6420,240.479175546089,1,249.642635339839
"1...180",21,70,60,300,"elevee",320,160,7500,236.442728241238,1,245.464000785687
"1...181",2,95,420,315,"elevee",320,160,1050,287.483080538602,1,324.411024544099
"1...182",3,90,300,315,"elevee",320,160,1545,277.456418168395,1,310.847911568087
"1...183",5,85,240,315,"elevee",320,160,2535,264.601667003398,1,294.580872512981
"1...184",7,82.5,180,315,"elevee",320,160,3285,257.871091188991,1,281.802379207627
"1...185",9,80,120,315,"elevee",320,160,3795,254.124497888464,1,271.042118292348
"1...186",12,77.5,120,315,"elevee",320,160,5100,246.454551043416,1,263.107208116821
"1...187",15,75,120,315,"elevee",320,160,6405,240.539885906933,1,256.89324390237
"1...188",18,72.5,60,315,"elevee",320,160,6690,239.409576372062,1,248.109650225407
"1...189",21,70,60,315,"elevee",320,160,7815,235.374435397586,1,243.939014077238
"1...190",2,95,420,330,"elevee",320,160,1080,286.750586191244,1,322.088883730334
"1...191",3,90,300,330,"elevee",320,160,1590,276.710315389367,1,308.66968604275
"1...192",5,85,240,330,"elevee",320,160,2610,263.842709752648,1,292.537465628541
"1...193",7,82.5,180,330,"elevee",320,160,3390,257.053078259362,1,279.931083469267
"1...194",9,80,120,330,"elevee",320,160,3930,253.218248857277,1,269.360250179658
"1...195",12,77.5,120,330,"elevee",320,160,5280,245.554109539377,1,261.444750096777
"1...196",15,75,120,330,"elevee",320,160,6630,239.643241247535,1,255.248638864292
"1...197",18,72.5,60,330,"elevee",320,160,6960,238.382341337313,1,246.660953420543
"1...198",21,70,60,330,"elevee",320,160,8130,234.348460010339,1,242.497650107898
"1...199",2,95,420,345,"elevee",320,160,1110,286.036346641352,1,319.912270624054
"1...200",3,90,300,345,"elevee",320,160,1635,275.982160481619,1,306.622978356456
"1...201",5,85,240,345,"elevee",320,160,2685,263.106488481535,1,290.61858305798
"1...202",7,82.5,180,345,"elevee",320,160,3495,256.263970918686,1,278.174003881129
"1...203",9,80,120,345,"elevee",320,160,4065,252.342524977721,1,267.773407557285
