"","Nrep","rest","interval_duration","profil","PAM","rest_power","duration","Wbal_skiba","power_skiba"
"1...179",9,150,15,"all around",391.34815655162,195.67407827581,1335,0,1075.81055225113
"1...180",10,150,15,"all around",391.34815655162,195.67407827581,1500,0,1073.19099219248
"1...181",11,150,15,"all around",391.34815655162,195.67407827581,1665,0,1071.67217570232
"1...182",12,150,15,"all around",391.34815655162,195.67407827581,1830,0,1070.78961238205
"1...183",13,150,15,"all around",391.34815655162,195.67407827581,1995,0,1070.27610565881
"1...184",14,150,15,"all around",391.34815655162,195.67407827581,2160,0,1069.97710513174
"1...185",15,150,15,"all around",391.34815655162,195.67407827581,2325,0,1069.80292953457
"1...186",16,150,15,"all around",391.34815655162,195.67407827581,2490,0,1069.70144191611
"1...187",17,150,15,"all around",391.34815655162,195.67407827581,2655,0,1069.64229894506
"1...188",18,150,15,"all around",391.34815655162,195.67407827581,2820,0,1069.60782978525
"1...189",19,150,15,"all around",391.34815655162,195.67407827581,2985,0,1069.58773977756
"1...190",20,150,15,"all around",391.34815655162,195.67407827581,3150,0,1069.57603017267
"1...191",2,165,15,"all around",391.34815655162,195.67407827581,195,0,1511.15469725506
"1...192",3,165,15,"all around",391.34815655162,195.67407827581,375,0,1303.72549368727
"1...193",4,165,15,"all around",391.34815655162,195.67407827581,555,0,1216.85508393787
"1...194",5,165,15,"all around",391.34815655162,195.67407827581,735,0,1174.99297845957
"1...195",6,165,15,"all around",391.34815655162,195.67407827581,915,0,1153.46143546875
"1...196",7,165,15,"all around",391.34815655162,195.67407827581,1095,0,1142.01534446383
"1...197",8,165,15,"all around",391.34815655162,195.67407827581,1275,0,1135.82382794444
"1...198",9,165,15,"all around",391.34815655162,195.67407827581,1455,0,1132.44311132343
"1...199",10,165,15,"all around",391.34815655162,195.67407827581,1635,0,1130.58770463043
"1...200",11,165,15,"all around",391.34815655162,195.67407827581,1815,0,1129.56656369087
"1...201",12,165,15,"all around",391.34815655162,195.67407827581,1995,0,1129.00370264393
"1...202",13,165,15,"all around",391.34815655162,195.67407827581,2175,0,1128.69318570536
"1...203",14,165,15,"all around",391.34815655162,195.67407827581,2355,0,1128.5218007467
"1...204",15,165,15,"all around",391.34815655162,195.67407827581,2535,0,1128.42718306289
"1...205",16,165,15,"all around",391.34815655162,195.67407827581,2715,0,1128.37493937087
"1...206",17,165,15,"all around",391.34815655162,195.67407827581,2895,0,1128.34609044764
"1...207",18,165,15,"all around",391.34815655162,195.67407827581,3075,0,1128.33015940355
"1...208",19,165,15,"all around",391.34815655162,195.67407827581,3255,0,1128.3213617005
"1...209",20,165,15,"all around",391.34815655162,195.67407827581,3435,0,1128.31650322386
"1...210",2,180,15,"all around",391.34815655162,195.67407827581,210,0,1535.41715295837
"1...211",3,180,15,"all around",391.34815655162,195.67407827581,405,0,1338.89451366208
"1...212",4,180,15,"all around",391.34815655162,195.67407827581,600,0,1258.95439711552
"1...213",5,180,15,"all around",391.34815655162,195.67407827581,795,0,1221.81089178026
"1...214",6,180,15,"all around",391.34815655162,195.67407827581,990,0,1203.49240913299
"1...215",7,180,15,"all around",391.34815655162,195.67407827581,1185,0,1194.19266400936
"1...216",8,180,15,"all around",391.34815655162,195.67407827581,1380,0,1189.40205191402
"1...217",9,180,15,"all around",391.34815655162,195.67407827581,1575,0,1186.91568886818
"1...218",10,180,15,"all around",391.34815655162,195.67407827581,1770,0,1185.62022989105
"1...219",11,180,15,"all around",391.34815655162,195.67407827581,1965,0,1184.94389747229
"1...220",12,180,15,"all around",391.34815655162,195.67407827581,2160,0,1184.59042580722
"1...221",13,180,15,"all around",391.34815655162,195.67407827581,2355,0,1184.40558909377
"1...222",14,180,15,"all around",391.34815655162,195.67407827581,2550,0,1184.30890679855
"1...223",15,180,15,"all around",391.34815655162,195.67407827581,2745,0,1184.25832769963
"1...224",16,180,15,"all around",391.34815655162,195.67407827581,2940,0,1184.23186528632
"1...225",17,180,15,"all around",391.34815655162,195.67407827581,3135,0,1184.21801987974
"1...226",18,180,15,"all around",391.34815655162,195.67407827581,3330,0,1184.21077566447
"1...227",19,180,15,"all around",391.34815655162,195.67407827581,3525,0,1184.20698529205
"1...228",20,180,15,"all around",391.34815655162,195.67407827581,3720,0,1184.20500205338
"1...229",2,195,15,"all around",391.34815655162,195.67407827581,225,0,1559.31375148696
"1...230",3,195,15,"all around",391.34815655162,195.67407827581,435,0,1373.54816826153
"1...231",4,195,15,"all around",391.34815655162,195.67407827581,645,0,1300.29828696411
"1...232",5,195,15,"all around",391.34815655162,195.67407827581,855,0,1267.54869710473
"1...233",6,195,15,"all around",391.34815655162,195.67407827581,1065,0,1252.09066474126
"1...234",7,195,15,"all around",391.34815655162,195.67407827581,1275,0,1244.6079514931
"1...235",8,195,15,"all around",391.34815655162,195.67407827581,1485,0,1240.94160775198
"1...236",9,195,15,"all around",391.34815655162,195.67407827581,1695,0,1239.13451251396
"1...237",10,195,15,"all around",391.34815655162,195.67407827581,1905,0,1238.24121611654
"1...238",11,195,15,"all around",391.34815655162,195.67407827581,2115,0,1237.79899872743
"1...239",12,195,15,"all around",391.34815655162,195.67407827581,2325,0,1237.57992732933
"1...240",13,195,15,"all around",391.34815655162,195.67407827581,2535,0,1237.47136256232
"1...241",14,195,15,"all around",391.34815655162,195.67407827581,2745,0,1237.41755192653
"1...242",15,195,15,"all around",391.34815655162,195.67407827581,2955,0,1237.39087811935
"1...243",16,195,15,"all around",391.34815655162,195.67407827581,3165,0,1237.37765540666
"1...244",17,195,15,"all around",391.34815655162,195.67407827581,3375,0,1237.37110051722
"1...245",18,195,15,"all around",391.34815655162,195.67407827581,3585,0,1237.3678510305
"1...246",19,195,15,"all around",391.34815655162,195.67407827581,3795,0,1237.36624013844
"1...247",20,195,15,"all around",391.34815655162,195.67407827581,4005,0,1237.36544155695
"1...248",2,210,15,"all around",391.34815655162,195.67407827581,240,0,1582.81871279813
"1...249",3,210,15,"all around",391.34815655162,195.67407827581,465,0,1407.61076961358
"1...250",4,210,15,"all around",391.34815655162,195.67407827581,690,0,1340.76479896063
"1...251",5,210,15,"all around",391.34815655162,195.67407827581,915,0,1312.06018471168
"1...252",6,210,15,"all around",391.34815655162,195.67407827581,1140,0,1299.11401295129
"1...253",7,210,15,"all around",391.34815655162,195.67407827581,1365,0,1293.14621275189
"1...254",8,210,15,"all around",391.34815655162,195.67407827581,1590,0,1290.36756833361
"1...255",9,210,15,"all around",391.34815655162,195.67407827581,1815,0,1289.06778881126
"1...256",10,210,15,"all around",391.34815655162,195.67407827581,2040,0,1288.45846350226
"1...257",11,210,15,"all around",391.34815655162,195.67407827581,2265,0,1288.17252642694
