"","Nrep","rest","interval_duration","niveau_endurance","PAM","rest_power","duration","PC","P_coggan"
"7240",5,45,270,"moyenne",331.614571833768,165.807285916884,1530,258.943776510768,265.84350165496
"7241",6,45,270,"moyenne",331.614571833768,165.807285916884,1845,253.591581031123,260.500141035325
"7242",7,45,270,"moyenne",331.614571833768,165.807285916884,2160,249.264835722742,256.134965584614
"7243",8,45,270,"moyenne",331.614571833768,165.807285916884,2475,245.634874332221,252.442756929453
"7244",9,45,270,"moyenne",331.614571833768,165.807285916884,2790,242.50829370901,249.241646850025
"7245",10,45,270,"moyenne",331.614571833768,165.807285916884,3105,239.762073078962,246.414723799097
"7246",11,45,270,"moyenne",331.614571833768,165.807285916884,3420,237.313265375756,243.882445487877
"7247",12,45,270,"moyenne",331.614571833768,165.807285916884,3735,235.103356472786,241.588260708913
"7248",13,45,270,"moyenne",331.614571833768,165.807285916884,4050,233.089552076512,239.490528837395
"7249",14,45,270,"moyenne",331.614571833768,165.807285916884,4365,231.239620117732,237.557698903746
"7250",15,45,270,"moyenne",331.614571833768,165.807285916884,4680,229.528683298821,235.765290211384
"7251",16,45,270,"moyenne",331.614571833768,165.807285916884,4995,227.93714107348,234.093923589358
"7252",17,45,270,"moyenne",331.614571833768,165.807285916884,5310,226.449276101501,232.527993418225
"7253",1,60,270,"moyenne",331.614571833768,165.807285916884,270,335.796294093084,335.796294093084
"7254",2,60,270,"moyenne",331.614571833768,165.807285916884,600,292.043211850818,299.055972471697
"7255",3,60,270,"moyenne",331.614571833768,165.807285916884,930,274.825368753978,283.259260325187
"7256",4,60,270,"moyenne",331.614571833768,165.807285916884,1260,264.80463071992,273.685336540646
"7257",5,60,270,"moyenne",331.614571833768,165.807285916884,1590,257.822485532965,266.837279365868
"7258",6,60,270,"moyenne",331.614571833768,165.807285916884,1920,252.483861995559,261.503944292981
"7259",7,60,270,"moyenne",331.614571833768,165.807285916884,2250,248.166839382216,257.131857807219
"7260",8,60,270,"moyenne",331.614571833768,165.807285916884,2580,244.54389242925,253.423628208787
"7261",9,60,270,"moyenne",331.614571833768,165.807285916884,2910,241.422440248721,250.201458399827
"7262",10,60,270,"moyenne",331.614571833768,165.807285916884,3240,238.680018279239,247.350690271521
"7263",11,60,270,"moyenne",331.614571833768,165.807285916884,3570,236.234054904718,244.79308737207
"7264",12,60,270,"moyenne",331.614571833768,165.807285916884,3900,234.026293046087,242.472880747355
"7265",13,60,270,"moyenne",331.614571833768,165.807285916884,4230,232.014117671516,240.348909077151
"7266",14,60,270,"moyenne",331.614571833768,165.807285916884,4560,230.165424101384,238.389918828007
"7267",15,60,270,"moyenne",331.614571833768,165.807285916884,4890,228.455427193021,236.571614291169
"7268",16,60,270,"moyenne",331.614571833768,165.807285916884,5220,226.864594167269,234.874730112126
"7269",1,75,270,"moyenne",331.614571833768,165.807285916884,270,335.796294093084,335.796294093084
"7270",2,75,270,"moyenne",331.614571833768,165.807285916884,615,290.957508878845,299.601829924391
"7271",3,75,270,"moyenne",331.614571833768,165.807285916884,960,273.718570133765,284.081011133322
"7272",4,75,270,"moyenne",331.614571833768,165.807285916884,1305,263.718289431202,274.613353322947
"7273",5,75,270,"moyenne",331.614571833768,165.807285916884,1650,256.75379557737,267.803153308962
"7274",6,75,270,"moyenne",331.614571833768,165.807285916884,1995,251.427837343005,262.476345425279
"7275",7,75,270,"moyenne",331.614571833768,165.807285916884,2340,247.119752278974,258.095061089669
"7276",8,75,270,"moyenne",331.614571833768,165.807285916884,2685,243.503179453626,254.369293073213
"7277",9,75,270,"moyenne",331.614571833768,165.807285916884,3030,240.386341161622,251.125051946029
"7278",10,75,270,"moyenne",331.614571833768,165.807285916884,3375,237.647304453151,248.249769873201
"7279",11,75,270,"moyenne",331.614571833768,165.807285916884,3720,235.203851646973,245.666411414369
"7280",12,75,270,"moyenne",331.614571833768,165.807285916884,4065,232.997965593484,243.319920317477
"7281",13,75,270,"moyenne",331.614571833768,165.807285916884,4410,230.987197299245,241.169567121057
"7282",14,75,270,"moyenne",331.614571833768,165.807285916884,4755,229.139559330388,239.184362582598
"7283",15,75,270,"moyenne",331.614571833768,165.807285916884,5100,227.430350899941,237.340172349525
"7284",1,90,270,"moyenne",331.614571833768,165.807285916884,270,335.796294093084,335.796294093084
"7285",2,90,270,"moyenne",331.614571833768,165.807285916884,630,289.913493224091,300.146202496669
"7286",3,90,270,"moyenne",331.614571833768,165.807285916884,990,272.660384516007,284.889164484205
"7287",4,90,270,"moyenne",331.614571833768,165.807285916884,1350,262.680733965279,275.519727716563
"7288",5,90,270,"moyenne",331.614571833768,165.807285916884,1710,255.733072997989,268.742411872129
"7289",6,90,270,"moyenne",331.614571833768,165.807285916884,2070,250.418930179536,263.418991832756
"7290",7,90,270,"moyenne",331.614571833768,165.807285916884,2430,246.119066933953,259.02648039897
"7291",8,90,270,"moyenne",331.614571833768,165.807285916884,2790,242.50829370901,255.281843197746
"7292",9,90,270,"moyenne",331.614571833768,165.807285916884,3150,239.39561263629,252.014655879139
"7293",10,90,270,"moyenne",331.614571833768,165.807285916884,3510,236.659597382095,249.114291804806
"7294",11,90,270,"moyenne",331.614571833768,165.807285916884,3870,234.218363482976,246.504821351872
"7295",12,90,270,"moyenne",331.614571833768,165.807285916884,4230,232.014117671516,244.131838128979
"7296",13,90,270,"moyenne",331.614571833768,165.807285916884,4590,230.004564800468,241.955001854657
"7297",14,90,270,"moyenne",331.614571833768,165.807285916884,4950,228.157825436481,239.943557882629
"7298",15,90,270,"moyenne",331.614571833768,165.807285916884,5310,226.449276101501,238.073512125498
"7299",1,105,270,"moyenne",331.614571833768,165.807285916884,270,335.796294093084,335.796294093084
"7300",2,105,270,"moyenne",331.614571833768,165.807285916884,645,288.90840654126,300.68867275624
"7301",3,105,270,"moyenne",331.614571833768,165.807285916884,1020,271.64695704768,285.683886980699
"7302",4,105,270,"moyenne",331.614571833768,165.807285916884,1395,261.687899691573,276.405230196136
"7303",5,105,270,"moyenne",331.614571833768,165.807285916884,1770,254.756258549868,269.656270154792
"7304",6,105,270,"moyenne",331.614571833768,165.807285916884,2145,249.453137775073,264.333413039178
"7305",7,105,270,"moyenne",331.614571833768,165.807285916884,2520,245.160844142463,259.927868563798
"7306",8,105,270,"moyenne",331.614571833768,165.807285916884,2895,241.555354355039,256.163191860507
