X,Nrep,rest,interval_duration,niveau_endurance,PAM,rest_power,duration,Wbal_skiba,power_skiba,percent_power_max,percent_PAM,cumul_time
1...127,14,210,15,faible,350.281232790258,175.140616395129,2940,0,894.840862355615,92.99127165415814,255.4635471696622,210
1...128,15,210,15,faible,350.281232790258,175.140616395129,3165,0,891.884347528838,92.68403258521059,254.619506852907,225
1...129,16,210,15,faible,350.281232790258,175.140616395129,3390,0,889.690963516781,92.4560975667201,253.99332885456403,240
1...130,17,210,15,faible,350.281232790258,175.140616395129,3615,0,888.06051227837,92.28666215042628,253.52785965844888,255
1...131,18,210,15,faible,350.281232790258,175.140616395129,3840,0,886.846735059787,92.16052722319044,253.18134459998737,270
1...132,19,210,15,faible,350.281232790258,175.140616395129,4065,0,885.942159117953,92.06652428850386,252.92310183470175,285
1...133,20,210,15,faible,350.281232790258,175.140616395129,4290,0,885.267468073549,91.99641084059131,252.73048773458865,300
1...134,2,240,15,faible,350.281232790258,175.140616395129,270,0,1774.57485873177,184.41264776907946,506.61431233295707,30
1...135,3,240,15,faible,350.281232790258,175.140616395129,525,0,1407.13175074006,146.2282025675523,401.71485624027844,45
1...136,4,240,15,faible,350.281232790258,175.140616395129,780,0,1235.46544190771,128.38875308547034,352.7067185604786,60
1...137,5,240,15,faible,350.281232790258,175.140616395129,1035,0,1140.2158875827,118.49048228248309,325.5144098072306,75
1...138,6,240,15,faible,350.281232790258,175.140616395129,1290,0,1082.28838781825,112.47069474991349,308.97698377871825,90
1...139,7,240,15,faible,350.281232790258,175.140616395129,1545,0,1045.07492887524,108.6034966643783,298.35310346215766,105
1...140,8,240,15,faible,350.281232790258,175.140616395129,1800,0,1020.32066355665,106.03104975490167,291.28613469497503,120
1...141,9,240,15,faible,350.281232790258,175.140616395129,2055,0,1003.47032347233,104.27997353770581,286.4756171716427,135
1...142,10,240,15,faible,350.281232790258,175.140616395129,2310,0,991.819541327629,103.06923194891733,283.14949488644527,150
1...143,11,240,15,faible,350.281232790258,175.140616395129,2565,0,983.676560555478,102.22301876296117,280.82479689812146,165
1...144,12,240,15,faible,350.281232790258,175.140616395129,2820,0,977.942282995206,101.62711642459024,279.1877472867009,180
1...145,13,240,15,faible,350.281232790258,175.140616395129,3075,0,973.882787642234,101.20525634753332,278.02882269327205,195
1...146,14,240,15,faible,350.281232790258,175.140616395129,3330,0,970.998151842376,100.90548689960963,277.2053027527718,210
1...147,15,240,15,faible,350.281232790258,175.140616395129,3585,0,968.942902869155,100.69190678316006,276.61856022110675,225
1...148,16,240,15,faible,350.281232790258,175.140616395129,3840,0,967.475801429161,100.53944657007644,276.19972492459164,240
1...149,17,240,15,faible,350.281232790258,175.140616395129,4095,0,966.427122269077,100.4304685240843,275.90034286757117,255
1...150,18,240,15,faible,350.281232790258,175.140616395129,4350,0,965.676805786432,100.35249613055663,275.6861388473706,270
1...151,19,240,15,faible,350.281232790258,175.140616395129,4605,0,965.139593003139,100.29666933277743,275.53277271381734,285
1...152,20,240,15,faible,350.281232790258,175.140616395129,4860,0,964.754768280762,100.2566786016841,275.4229110694148,300
1...153,2,270,15,faible,350.281232790258,175.140616395129,300,0,1802.41194187521,187.30545907167985,514.5613790146905,30
1...154,3,270,15,faible,350.281232790258,175.140616395129,585,0,1446.64213394839,150.3340955063412,412.9944737332282,45
1...155,4,270,15,faible,350.281232790258,175.140616395129,870,0,1282.6723513710201,133.29446395153423,366.1835780220235,60
1...156,5,270,15,faible,350.281232790258,175.140616395129,1155,0,1193.30958289977,124.0079440480933,340.6718576939296,75
1...157,6,270,15,faible,350.281232790258,175.140616395129,1440,0,1140.13486799804,118.48206278073326,325.49127993983393,90
1...158,7,270,15,faible,350.281232790258,175.140616395129,1725,0,1106.82660127236,115.02068969226791,315.9822730026497,105
1...159,8,270,15,faible,350.281232790258,175.140616395129,2010,0,1085.28728724257,112.782338398256,309.83312425773613,120
1...160,9,270,15,faible,350.281232790258,175.140616395129,2295,0,1071.07033453956,111.30492205919913,305.7743990472071,135
1...161,10,270,15,faible,350.281232790258,175.140616395129,2580,0,1061.55921412682,110.3165327050203,303.0591178610081,150
1...162,11,270,15,faible,350.281232790258,175.140616395129,2865,0,1055.13881414322,109.64932897738582,301.22619066349404,165
1...163,12,270,15,faible,350.281232790258,175.140616395129,3150,0,1050.77842915858,109.19620064844922,299.98136662598955,180
1...164,13,270,15,faible,350.281232790258,175.140616395129,3435,0,1047.80489048293,108.88719247236571,299.13246625757324,195
1...165,14,270,15,faible,350.281232790258,175.140616395129,3720,0,1045.77141234926,108.67587476718947,298.5519389716916,210
1...166,15,270,15,faible,350.281232790258,175.140616395129,4005,0,1044.37813551287,108.53108635817436,298.1541794841816,225
1...167,16,270,15,faible,350.281232790258,175.140616395129,4290,0,1043.42225146807,108.43175151930049,297.8812890306493,240
1...168,17,270,15,faible,350.281232790258,175.140616395129,4575,0,1042.76585851699,108.36353959716598,297.6938987597372,255
1...169,18,270,15,faible,350.281232790258,175.140616395129,4860,0,1042.31484351006,108.31667041539983,297.56514078908106,270
1...170,19,270,15,faible,350.281232790258,175.140616395129,5145,0,1042.00481440149,108.28445239511426,297.4766321624269,285
1...171,2,300,15,faible,350.281232790258,175.140616395129,330,0,1830.07464280218,190.1801486894695,522.458662208145,30
1...172,3,300,15,faible,350.281232790258,175.140616395129,645,0,1486.12267103103,154.43688685545246,424.26557060820124,45
1...173,4,300,15,faible,350.281232790258,175.140616395129,960,0,1329.97298449766,138.20991451881625,379.6871941734953,60
1...174,5,300,15,faible,350.281232790258,175.140616395129,1275,0,1246.53639939711,129.53923967887235,355.867309666434,75
1...175,6,300,15,faible,350.281232790258,175.140616395129,1590,0,1198.05786385574,124.5013822702868,342.027420171013,90
1...176,7,300,15,faible,350.281232790258,175.140616395129,1905,0,1168.51135390725,121.43092846264607,333.5923379620321,105
1...177,8,300,15,faible,350.281232790258,175.140616395129,2220,0,1149.97606592707,119.50475357249226,328.3007932702049,120
1...178,9,300,15,faible,350.281232790258,175.140616395129,2535,0,1138.13707950801,118.2744539197623,324.92094150802126,135
1...179,10,300,15,faible,350.281232790258,175.140616395129,2850,0,1130.48799305581,117.47956590547311,322.7372428864111,150
1...180,11,300,15,faible,350.281232790258,175.140616395129,3165,0,1125.5092978985,116.9621831915927,321.3159006358855,165
1...181,12,300,15,faible,350.281232790258,175.140616395129,3480,0,1122.2531153121,116.6238028469017,320.3863097010637,180
1...182,13,300,15,faible,350.281232790258,175.140616395129,3795,0,1120.11679713072,116.40179807186108,319.77642313524274,195
1...183,14,300,15,faible,350.281232790258,175.140616395129,4110,0,1118.71231080004,116.2558447795997,319.3754635064633,210
1...184,15,300,15,faible,350.281232790258,175.140616395129,4425,0,1117.78770440497,116.15976029343666,319.1115023493939,225
1...185,16,300,15,faible,350.281232790258,175.140616395129,4740,0,1117.1784717976,116.09644924308589,318.9375756441242,240
1...186,17,300,15,faible,350.281232790258,175.140616395129,5055,0,1116.77680654756,116.05470845547572,318.82290628349637,255
1...187,18,300,15,faible,350.281232790258,175.140616395129,5370,0,1116.5118873674,116.02717822916955,318.74727585989365,270
1...188,2,30,30,faible,350.281232790258,175.140616395129,90,0,890.801863027033,115.48655018043854,254.3104738815479,60
1...189,3,30,30,faible,350.281232790258,175.140616395129,150,0,676.551593228894,87.7104244658649,193.1452586938909,90
1...190,4,30,30,faible,350.281232790258,175.140616395129,210,0,570.399299682329,73.94848403415524,162.8403826087576,120
1...191,5,30,30,faible,350.281232790258,175.140616395129,270,0,507.059501642866,65.73689954122821,144.75782719038332,150
1...192,6,30,30,faible,350.281232790258,175.140616395129,330,0,465.008654245943,60.28528622563354,132.75294555229044,180
1...193,7,30,30,faible,350.281232790258,175.140616395129,390,0,435.080039267075,56.40523989990738,124.20877812988427,210
1...194,8,30,30,faible,350.281232790258,175.140616395129,450,0,412.709077869831,53.504993208450834,117.82220662588385,240
1...195,9,30,30,faible,350.281232790258,175.140616395129,510,0,395.367271077768,51.25674303808688,112.87138278244745,270
1...196,10,30,30,faible,350.281232790258,175.140616395129,570,0,381.5408228543,49.464235778222395,108.9241407011833,300
1...197,11,30,30,faible,350.281232790258,175.140616395129,630,0,370.268037570173,48.00279397233662,105.70593080899732,330
1...198,12,30,30,faible,350.281232790258,175.140616395129,690,0,360.908650235575,46.789411513298795,103.03396712426228,360
1...199,13,30,30,faible,350.281232790258,175.140616395129,750,0,353.019887957424,45.76668583376169,100.78184467530575,390
1...200,14,30,30,faible,350.281232790258,175.140616395129,810,0,346.28577217534,44.893652410205725,98.85935635686471,420
1...201,15,30,30,faible,350.281232790258,175.140616395129,870,0,340.474761742993,44.14029346951621,97.20040066972787,450
1...202,16,30,30,faible,350.281232790258,175.140616395129,930,0,335.413312363445,43.484110145235064,95.75543333898348,480
