"","Nrep","rest","interval_duration","niveau_endurance","PAM","rest_power","duration","Wbal_skiba","power_skiba"
"1...205",19,30,30,"elevee",331.614571833768,165.807285916884,1110,0,334.892749416014
"1...206",20,30,30,"elevee",331.614571833768,165.807285916884,1170,0,332.920081813358
"1...207",2,60,30,"elevee",331.614571833768,165.807285916884,120,0,761.406016569143
"1...208",3,60,30,"elevee",331.614571833768,165.807285916884,210,0,613.080934684422
"1...209",4,60,30,"elevee",331.614571833768,165.807285916884,300,0,540.419088027615
"1...210",5,60,30,"elevee",331.614571833768,165.807285916884,390,0,497.727517386359
"1...211",6,60,30,"elevee",331.614571833768,165.807285916884,480,0,469.930042881424
"1...212",7,60,30,"elevee",331.614571833768,165.807285916884,570,0,450.601439808986
"1...213",8,60,30,"elevee",331.614571833768,165.807285916884,660,0,436.539842436447
"1...214",9,60,30,"elevee",331.614571833768,165.807285916884,750,0,425.970020325734
"1...215",10,60,30,"elevee",331.614571833768,165.807285916884,840,0,417.828038808676
"1...216",11,60,30,"elevee",331.614571833768,165.807285916884,930,0,411.43720807804
"1...217",12,60,30,"elevee",331.614571833768,165.807285916884,1020,0,406.346476110692
"1...218",13,60,30,"elevee",331.614571833768,165.807285916884,1110,0,402.24358381582
"1...219",14,60,30,"elevee",331.614571833768,165.807285916884,1200,0,398.905515736759
"1...220",15,60,30,"elevee",331.614571833768,165.807285916884,1290,0,396.168803529782
"1...221",16,60,30,"elevee",331.614571833768,165.807285916884,1380,0,393.910978154621
"1...222",17,60,30,"elevee",331.614571833768,165.807285916884,1470,0,392.038570636197
"1...223",18,60,30,"elevee",331.614571833768,165.807285916884,1560,0,390.479109680162
"1...224",19,60,30,"elevee",331.614571833768,165.807285916884,1650,0,389.17564093405
"1...225",20,60,30,"elevee",331.614571833768,165.807285916884,1740,0,388.082883978207
"1...226",2,90,30,"elevee",331.614571833768,165.807285916884,150,0,780.845476778354
"1...227",3,90,30,"elevee",331.614571833768,165.807285916884,270,0,640.178579934706
"1...228",4,90,30,"elevee",331.614571833768,165.807285916884,390,0,572.318975802774
"1...229",5,90,30,"elevee",331.614571833768,165.807285916884,510,0,533.260813048578
"1...230",6,90,30,"elevee",331.614571833768,165.807285916884,630,0,508.470531434621
