"","Nrep","rest","interval_duration","profil","PAM","rest_power","duration","PC","DR","power_cogganTSS"
"1...206",17,165,15,"all around",391.34815655162,195.67407827581,2895,271.676369010843,1,628.609756805201
"1...207",18,165,15,"all around",391.34815655162,195.67407827581,3075,269.423691293123,1,619.86121524375
"1...208",19,165,15,"all around",391.34815655162,195.67407827581,3255,267.311192691571,1,611.684231222829
"1...209",20,165,15,"all around",391.34815655162,195.67407827581,3435,265.322334185852,1,604.0084402466
"1...210",2,180,15,"all around",391.34815655162,195.67407827581,210,409.107135026963,1,1521.92300914571
"1...211",3,180,15,"all around",391.34815655162,195.67407827581,405,367.034159441566,1,1099.74919670345
"1...212",4,180,15,"all around",391.34815655162,195.67407827581,600,341.59673333692,1,956.399503697593
"1...213",5,180,15,"all around",391.34815655162,195.67407827581,795,326.382067881761,1,880.475326205813
"1...214",6,180,15,"all around",391.34815655162,195.67407827581,990,315.71402516351,1,830.535719742839
"1...215",7,180,15,"all around",391.34815655162,195.67407827581,1185,307.554304956099,1,793.848743914937
"1...216",8,180,15,"all around",391.34815655162,195.67407827581,1380,300.965975797578,1,765.044005019948
"1...217",9,180,15,"all around",391.34815655162,195.67407827581,1575,295.448058908098,1,741.41002731198
"1...218",10,180,15,"all around",391.34815655162,195.67407827581,1770,290.703712157967,1,721.406518887787
"1...219",11,180,15,"all around",391.34815655162,195.67407827581,1965,286.543473549887,1,704.082104841428
"1...220",12,180,15,"all around",391.34815655162,195.67407827581,2160,282.839414731039,1,688.811200951488
"1...221",13,180,15,"all around",391.34815655162,195.67407827581,2355,279.501265021272,1,675.161971319539
"1...222",14,180,15,"all around",391.34815655162,195.67407827581,2550,276.463031787886,1,662.824536091782
"1...223",15,180,15,"all around",391.34815655162,195.67407827581,2745,273.675050409448,1,651.569379378092
"1...224",16,180,15,"all around",391.34815655162,195.67407827581,2940,271.099028527729,1,641.221977788422
"1...225",17,180,15,"all around",391.34815655162,195.67407827581,3135,268.704830925194,1,631.646647292171
"1...226",18,180,15,"all around",391.34815655162,195.67407827581,3330,266.468321945917,1,622.735881491278
