X,Nrep,rest,interval_duration,niveau_endurance,PAM,rest_power,duration,PC,DR,power_cogganTSS,percent_power_max,percent_PAM,cumul_time
1...462,15,150,45,faible,350.281232790258,175.140616395129,2775,230.680398513946,1,335.86622028033503,51.55981064326723,95.88473170683557,675
1...463,16,150,45,faible,350.281232790258,175.140616395129,2970,228.43286823292,1,332.277812909502,51.00894368083013,94.86029561522751,720
1...464,17,150,45,faible,350.281232790258,175.140616395129,3165,226.350081206232,1,328.942210991113,50.496885626436004,93.90803166097041,765
1...465,18,150,45,faible,350.281232790258,175.140616395129,3360,224.409502957172,1,325.825926071526,50.018495569138,93.0183793964847,810
1...466,19,150,45,faible,350.281232790258,175.140616395129,3555,222.592906086059,1,322.901707072842,49.569590115872266,92.18355905073271,855
1...467,20,150,45,faible,350.281232790258,175.140616395129,3750,220.885344352367,1,320.147085701219,49.14672009281299,91.39715626526792,900
1...468,2,180,45,faible,350.281232790258,175.140616395129,270,356.537006399118,1,522.539296209558,80.21654319313035,149.1770746742932,90
1...469,3,180,45,faible,350.281232790258,175.140616395129,495,308.338483627301,1,463.030982952186,71.08124711992185,132.18835027608816,135
1...470,4,180,45,faible,350.281232790258,175.140616395129,720,285.644220772328,1,431.552369224715,66.24887260560996,123.20168162795085,180
1...471,5,180,45,faible,350.281232790258,175.140616395129,945,272.074749602261,1,411.775321617186,63.212839899266434,117.55563332271059,225
1...472,6,180,45,faible,350.281232790258,175.140616395129,1170,262.61401702198,1,397.536247649228,61.02695780338132,113.49059282524149,270
1...473,7,180,45,faible,350.281232790258,175.140616395129,1395,255.42230254026,1,386.463835166841,59.327199219503726,110.32958634076992,315
1...474,8,180,45,faible,350.281232790258,175.140616395129,1620,249.647984210261,1,377.422496608565,57.93923676338865,107.74842077667309,360
1...475,9,180,45,faible,350.281232790258,175.140616395129,1845,244.835133018147,1,369.788043091323,56.76724936499748,105.56889963692268,405
1...476,10,180,45,faible,350.281232790258,175.140616395129,2070,240.713985844114,1,363.183149231493,55.75331269566684,103.68330222503255,450
