"","Nrep","rest","interval_duration","niveau_endurance","PAM","rest_power","duration","PC","DR","power_cogganEXP"
"1...137",12,240,15,"moyenne",331.614571833768,165.807285916884,2820,242.231902345027,1,485.919797495964
"1...138",13,240,15,"moyenne",331.614571833768,165.807285916884,3075,240.009717900654,1,475.111772518579
"1...139",14,240,15,"moyenne",331.614571833768,165.807285916884,3330,237.986339805435,1,465.351032116964
"1...140",15,240,15,"moyenne",331.614571833768,165.807285916884,3585,236.12890476434,1,456.452829495908
"1...141",16,240,15,"moyenne",331.614571833768,165.807285916884,3840,234.412071013691,1,448.277009289886
"1...142",17,240,15,"moyenne",331.614571833768,165.807285916884,4095,232.815891374092,1,440.714825515231
"1...143",18,240,15,"moyenne",331.614571833768,165.807285916884,4350,231.324386348209,1,433.680265949267
"1...144",19,240,15,"moyenne",331.614571833768,165.807285916884,4605,229.924558607018,1,427.10416184385
"1...145",2,270,15,"moyenne",331.614571833768,165.807285916884,300,331.614571833768,1,1288.69647724838
"1...146",3,270,15,"moyenne",331.614571833768,165.807285916884,585,293.173639914741,1,844.191493905962
"1...147",4,270,15,"moyenne",331.614571833768,165.807285916884,870,277.202760824934,1,721.822635737509
"1...148",5,270,15,"moyenne",331.614571833768,165.807285916884,1155,267.556367136221,1,657.701955917711
"1...149",6,270,15,"moyenne",331.614571833768,165.807285916884,1440,260.736195428549,1,615.749993436199
"1...150",7,270,15,"moyenne",331.614571833768,165.807285916884,1725,255.4849002964,1,585.011834911201
"1...151",8,270,15,"moyenne",331.614571833768,165.807285916884,2010,251.222422232416,1,560.908985923627
"1...152",9,270,15,"moyenne",331.614571833768,165.807285916884,2295,247.637228414503,1,541.144634419577
"1...153",10,270,15,"moyenne",331.614571833768,165.807285916884,2580,244.54389242925,1,524.419940700603
"1...154",11,270,15,"moyenne",331.614571833768,165.807285916884,2865,241.823549356725,1,509.935255592407
"1...155",12,270,15,"moyenne",331.614571833768,165.807285916884,3150,239.39561263629,1,497.165992120704
"1...156",13,270,15,"moyenne",331.614571833768,165.807285916884,3435,237.203003837009,1,485.750649724749
"1...157",14,270,15,"moyenne",331.614571833768,165.807285916884,3720,235.203851646973,1,475.430144702478
"1...158",15,270,15,"moyenne",331.614571833768,165.807285916884,4005,233.366545099036,1,466.012759758941
"1...159",16,270,15,"moyenne",331.614571833768,165.807285916884,4290,231.666641108847,1,457.352810815908
"1...160",17,270,15,"moyenne",331.614571833768,165.807285916884,4575,230.084852628689,1,449.337089492786
"1...161",18,270,15,"moyenne",331.614571833768,165.807285916884,4860,228.605694963515,1,441.87592777492
"1...162",19,270,15,"moyenne",331.614571833768,165.807285916884,5145,227.216548272886,1,434.897123115083
"1...163",2,300,15,"moyenne",331.614571833768,165.807285916884,330,324.837470612731,1,1325.63375311578
"1...164",3,300,15,"moyenne",331.614571833768,165.807285916884,645,288.90840654126,1,867.847185269793
"1...165",4,300,15,"moyenne",331.614571833768,165.807285916884,960,273.718570133765,1,741.809992545433
"1...166",5,300,15,"moyenne",331.614571833768,165.807285916884,1275,264.436823500229,1,675.473118568914
"1...167",6,300,15,"moyenne",331.614571833768,165.807285916884,1590,257.822485532965,1,631.89196304381
"1...168",7,300,15,"moyenne",331.614571833768,165.807285916884,1905,252.701112499388,1,599.852070097719
"1...169",8,300,15,"moyenne",331.614571833768,165.807285916884,2220,248.526940585683,1,574.660184521337
"1...170",9,300,15,"moyenne",331.614571833768,165.807285916884,2535,245.005019317376,1,553.957521361975
"1...171",10,300,15,"moyenne",331.614571833768,165.807285916884,2850,241.958849215098,1,536.407516019708
"1...172",11,300,15,"moyenne",331.614571833768,165.807285916884,3165,239.274765534402,1,521.185660014701
"1...173",12,300,15,"moyenne",331.614571833768,165.807285916884,3480,236.875400068021,1,507.75003518373
"1...174",13,300,15,"moyenne",331.614571833768,165.807285916884,3795,234.705764212365,1,495.726537061912
"1...175",14,300,15,"moyenne",331.614571833768,165.807285916884,4110,232.725397751465,1,484.846609298365
"1...176",15,300,15,"moyenne",331.614571833768,165.807285916884,4425,230.903673926493,1,474.911224614664
"1...177",16,300,15,"moyenne",331.614571833768,165.807285916884,4740,229.216855159697,1,465.768933859501
"1...178",17,300,15,"moyenne",331.614571833768,165.807285916884,5055,227.646172105806,1,457.301898312977
"1...179",18,300,15,"moyenne",331.614571833768,165.807285916884,5370,226.176527734321,1,449.416672782598
"1...180",1,30,30,"moyenne",331.614571833768,165.807285916884,30,626.331143129083,1,626.331143129083
"1...181",2,30,30,"moyenne",331.614571833768,165.807285916884,90,421.558810315529,1,520.034955078337
"1...182",3,30,30,"moyenne",331.614571833768,165.807285916884,150,369.527948757263,1,441.523713855549
"1...183",4,30,30,"moyenne",331.614571833768,165.807285916884,210,347.766873790563,1,408.434718343641
"1...184",5,30,30,"moyenne",331.614571833768,165.807285916884,270,335.796294093084,1,390.182436723104
"1...185",6,30,30,"moyenne",331.614571833768,165.807285916884,330,324.837470612731,1,373.40773522388
