"","Nrep","intensity","rest","interval_duration","niveau_endurance","PAM","rest_velocity","max_velocity","interval_velocity","interval_power","rest_power","duration","PN","PC","DR","power_cogganMOD","err","abs_error","percent_error"
"1...68",9,80,120,120,"moyenne",287.074791960115,2.34893786687458,5.22751056782576,4.18200845426061,257.408703228005,146.890302309333,2040,221.242717619355,255.620098647349,1,301.163232909738,-43.7545296817332,43.7545296817332,-15.6665692817562
"1...69",12,77.5,120,120,"moyenne",287.074791960115,2.34893786687458,5.22751056782576,4.05132069006496,249.138415905659,146.890302309333,2760,214.457718556821,249.867423719256,1,294.781165402501,-45.642749496842,45.642749496842,-16.7829036002228
"1...70",15,75,120,120,"moyenne",287.074791960115,2.34893786687458,5.22751056782576,3.92063292586932,240.935882265772,146.890302309333,3480,208.066396497011,245.491082041479,1,289.728529103992,-48.7926468382199,48.7926468382199,-18.3892666599876
"1...71",18,72.5,60,120,"moyenne",287.074791960115,2.34893786687458,5.22751056782576,3.78994516167368,232.799173813301,148.177721099902,3180,212.980294775763,247.189765346235,1,273.754054136248,-40.9548803229476,40.9548803229476,-16.1700204690144
"1...72",21,70,60,120,"moyenne",287.074791960115,2.34893786687458,5.22751056782576,3.65925739747803,224.726362053202,148.177721099902,3720,206.298682738196,244.237078239655,1,270.44489585029,-45.7185337970881,45.7185337970881,-18.46574617059
"1...73",2,95,420,135,"moyenne",287.074791960115,2.34893786687458,5.17771123513567,4.91882567337889,304.769002747767,145.970717458927,690,239.95061710188,276.848472807722,1,354.982710828656,-50.2137080808895,50.2137080808895,-15.2220015644031
"1...74",3,90,300,135,"moyenne",287.074791960115,2.34893786687458,5.17771123513567,4.65994011162211,287.698498572657,146.117851034992,1005,230.058038758106,269.351809949015,1,340.983642851653,-53.2851442789954,53.2851442789954,-16.9513783732668
"1...75",5,85,240,135,"moyenne",287.074791960115,2.34893786687458,5.17771123513567,4.40105454986532,270.925638124465,146.246592914049,1635,219.888771882569,259.86934471607,1,325.22869712154,-54.3030589970753,54.3030589970753,-18.2177854916267
"1...76",7,82.5,180,135,"moyenne",287.074791960115,2.34893786687458,5.17771123513567,4.27161176898693,262.646139538957,146.461162712477,2025,219.690488414409,255.761266729727,1,309.988101214293,-47.3419616753352,47.3419616753352,-16.5347994604937
"1...77",9,80,120,135,"moyenne",287.074791960115,2.34893786687458,5.17771123513567,4.14216898810854,254.435430174373,146.890302309333,2175,221.770007542035,254.395945033198,1,295.114497428035,-40.6790672536618,40.6790672536618,-14.804502816018
"1...78",12,77.5,120,135,"moyenne",287.074791960115,2.34893786687458,5.17771123513567,4.01272620723015,246.29163612711,146.890302309333,2940,214.945567544906,248.67180892862,1,288.869100911825,-42.5774647847153,42.5774647847153,-15.9120286066942
"1...79",15,75,120,135,"moyenne",287.074791960115,2.34893786687458,5.17771123513567,3.88328342635176,238.212883493565,146.890302309333,3705,208.49947388927,244.312972062629,1,283.930127206769,-45.7172437132043,45.7172437132043,-17.511387790822
"1...80",18,72.5,60,135,"moyenne",287.074791960115,2.34893786687458,5.17771123513567,3.75384064547336,230.197298370137,148.177721099902,3450,212.57961558827,245.654047348574,1,269.18092901554,-38.9836306454033,38.9836306454033,-15.6128675651274
"1...81",21,70,60,135,"moyenne",287.074791960115,2.34893786687458,5.17771123513567,3.62439786459497,222.243006853224,148.177721099902,4035,205.875034361104,242.711608880933,1,265.928179065703,-43.6851722124792,43.6851722124792,-17.8974808315435
"1...82",2,95,420,150,"moyenne",287.074791960115,2.34893786687458,5.13316418031148,4.8765059712959,301.464308937535,145.970717458927,720,241.609167790548,275.990929210684,1,347.036610943015,-45.5723020054799,45.5723020054799,-14.0546607131641
"1...83",3,90,300,150,"moyenne",287.074791960115,2.34893786687458,5.13316418031148,4.61984776228033,284.639197225949,146.117851034992,1050,231.414524628938,268.489241292228,1,333.703435113152,-49.0642378872022,49.0642378872022,-15.8695956970003
"1...84",5,85,240,150,"moyenne",287.074791960115,2.34893786687458,5.13316418031148,4.36318955326476,268.101615277373,146.246592914049,1710,220.984166448695,259.005360962325,1,318.570200532543,-50.4685852551697,50.4685852551697,-17.2050485109793
"1...85",7,82.5,180,150,"moyenne",287.074791960115,2.34893786687458,5.13316418031148,4.23486044875697,259.936083085507,146.461162712477,2130,220.470119897142,254.795035851021,1,304.082434280774,-44.1463511952672,44.1463511952672,-15.6542205037563
"1...86",9,80,120,150,"moyenne",287.074791960115,2.34893786687458,5.13316418031148,4.10653134424918,251.836955479946,146.890302309333,2310,222.072995294556,253.247896397176,1,290.061752814108,-38.2247973341613,38.2247973341613,-14.107727790862
"1...87",12,77.5,120,150,"moyenne",287.074791960115,2.34893786687458,5.13316418031148,3.97820223974139,243.802406509208,146.890302309333,3120,215.225197902507,247.549220019319,1,283.922563704889,-40.1201571956806,40.1201571956806,-15.2049493429898
"1...88",15,75,120,150,"moyenne",287.074791960115,2.34893786687458,5.13316418031148,3.84987313523361,235.83061022181,146.890302309333,3930,208.740613334285,243.206095844181,1,279.072996001277,-43.2423857794669,43.2423857794669,-16.7963033301156
"1...89",18,72.5,60,150,"moyenne",287.074791960115,2.34893786687458,5.13316418031148,3.72154403072582,227.919740666269,148.177721099902,3720,212.090022090356,244.237078239655,1,265.332470816817,-37.4127301505478,37.4127301505478,-15.1698175008915
"1...90",21,70,60,150,"moyenne",287.074791960115,2.34893786687458,5.13316418031148,3.59321492621803,220.067971891104,148.177721099902,4350,205.37334790123,241.303639227967,1,262.1244078766,-42.0564359854964,42.0564359854964,-17.4438409855241
"1...91",2,95,420,165,"moyenne",287.074791960115,2.34893786687458,5.0928665151988,4.83822318943886,298.538648022384,145.970717458927,750,242.93030677994,275.170757171006,1,340.34630390251,-41.8076558801266,41.8076558801266,-13.0876946636995
"1...92",3,90,300,165,"moyenne",287.074791960115,2.34893786687458,5.0928665151988,4.58357986367892,281.928674866547,146.117851034992,1095,232.486831689763,267.664758590118,1,327.546293015829,-45.6176181492822,45.6176181492822,-14.9694804719481
"1...93",5,85,240,165,"moyenne",287.074791960115,2.34893786687458,5.0928665151988,4.32893653791898,265.597502083959,146.246592914049,1785,221.84085306389,258.179842609854,1,312.915976234364,-47.3184741504045,47.3184741504045,-16.3586419068245
"1...94",7,82.5,180,165,"moyenne",287.074791960115,2.34893786687458,5.0928665151988,4.20161487503901,257.532007621242,146.461162712477,2235,221.040501208781,253.876870338643,1,299.056272062281,-41.5242644410397,41.5242644410397,-14.9209985034721
"1...95",9,80,120,165,"moyenne",287.074791960115,2.34893786687458,5.0928665151988,4.07429321215904,249.530863398165,146.890302309333,2445,222.212507569597,252.16709677577,1,285.752428643764,-36.221565245599,36.221565245599,-13.533605768798
"1...96",12,77.5,120,165,"moyenne",287.074791960115,2.34893786687458,5.0928665151988,3.94697154927907,241.592286130171,146.890302309333,3300,215.352423955561,246.491313399504,1,279.698192647664,-38.1059065174924,38.1059065174924,-14.6198359911854
"1...97",15,75,120,165,"moyenne",287.074791960115,2.34893786687458,5.0928665151988,3.8196498863991,233.714492532705,146.890302309333,4155,208.841006355171,242.162375032551,1,274.920872214158,-41.2063796814531,41.2063796814531,-16.2027190940452
"1...98",18,72.5,60,165,"moyenne",287.074791960115,2.34893786687458,5.0928665151988,3.69232822351913,225.895699321208,148.177721099902,3990,211.54626784219,242.921918887339,1,262.026918668281,-36.1312193470736,36.1312193470736,-14.8102252344662
